key,label,label_fr,label_zh
total,Total,Totaux,合計
2020,2020 all year,Année 2020,2020全年
Jan_2020,January 2020,Janvier 2020,2020年1月
Feb_2020,February 2020,Février 2020,2020年2月
Mar_2020,March 2020,Mars 2020,2020年3月
Apr_2020,April 2020,Avril 2020,2020年4月
May_2020,May 2020,Mai 2020,2020年5月
Jun_2020,June 2020,Juin 2020,2020年6月
Jul_2020,July 2020,Juillet 2020,2020年7月
Aug_2020,August 2020,Août 2020,2020年8月
Sep_2020,September 2020,Septembre 2020,2020年9月
Oct_2020,October 2020,Octobre 2020,2020年10月
Nov_2020,November 2020,Novembre 2020,2020年11月
Dec_2020,December 2020,Décembre 2020,2020年12月
2021,2021 all year,Année 2021,2021全年
Jan_2021,January 2021,Janvier 2021,2021年1月
Feb_2021,February 2021,Février 2021,2021年2月
Mar_2021,March 2021,Mars 2021,2021年3月
Apr_2021,April 2021,Avril 2021,2021年4月
May_2021,May 2021,Mai 2021,2021年5月
Jun_2021,June 2021,Juin 2021,2021年6月
Jul_2021,July 2021,Juillet 2021,2021年7月
Aug_2021,August 2021,Août 2021,2021年8月
Sep_2021,September 2021,Septembre 2021,2021年9月
Oct_2021,October 2021,Octobre 2021,2021年10月
Nov_2021,November 2021,Novembre 2021,2021年11月
Dec_2021,December 2021,Décembre 2021,2021年12月
2022,2022 all year,Année 2022,2022全年
Jan_2022,January 2022,Janvier 2022,2022年1月
Feb_2022,February 2022,Février 2022,2022年2月
Mar_2022,March 2022,Mars 2022,2022年3月
Apr_2022,April 2022,Avril 2022,2022年4月
May_2022,May 2022,Mai 2022,2022年5月
Jun_2022,June 2022,Juin 2022,2022年6月
Jul_2022,July 2022,Juillet 2022,2022年7月
Aug_2022,August 2022,Août 2022,2022年8月
Sep_2022,September 2022,Septembre 2022,2022年9月
Oct_2022,October 2022,Octobre 2022,2022年10月
Nov_2022,November 2022,Novembre 2022,2022年11月
Dec_2022,December 2022,Décembre 2022,2022年12月
2023,2023 all year,Année 2023,2023全年
Jan_2023,January 2023,Janvier 2023,2023年1月
Feb_2023,February 2023,Février 2023,2023年2月
Mar_2023,March 2023,Mars 2023,2023年3月
Apr_2023,April 2023,Avril 2023,2023年4月
May_2023,May 2023,Mai 2023,2023年5月
Jun_2023,June 2023,Juin 2023,2023年6月
Jul_2023,July 2023,Juillet 2023,2023年7月
Aug_2023,August 2023,Août 2023,2023年8月
Sep_2023,September 2023,Septembre 2023,2023年9月
Oct_2023,October 2023,Octobre 2023,2023年10月
Nov_2023,November 2023,Novembre 2023,2023年11月
Dec_2023,December 2023,Décembre 2023,2023年12月
