age,total_count,2020_count,2021_count,2022_count,total_rate,2020_rate,2021_rate,2022_rate
0-9,1.0,0.0,0.0,1.0,1.35e-05,0.00e+00,0.00e+00,1.36e-05
10-19,0.0,0.0,0.0,0.0,0.00e+00,0.00e+00,0.00e+00,0.00e+00
20-29,4.0,0.0,0.0,4.0,3.05e-05,0.00e+00,0.00e+00,3.10e-05
30-39,10.0,0.0,8.0,2.0,7.48e-05,0.00e+00,3.08e-03,1.53e-05
40-49,23.0,2.0,20.0,1.0,1.97e-04,2.17e-02,8.00e-03,8.76e-06
50-59,84.0,1.0,69.0,14.0,1.05e-03,1.30e-02,2.45e-02,1.82e-04
60-69,251.0,2.0,218.0,31.0,4.11e-03,3.39e-02,7.31e-02,5.35e-04
70+,,,,,1.86e-02,9.09e-02,2.59e-01,4.20e-03
70-79,316.0,1.0,270.0,45.0,,,,
80-89,246.0,1.0,184.0,61.0,,,,
90-99,108.0,0.0,71.0,37.0,,,,
100+,3.0,0.0,3.0,0.0,,,,
