difference,total,2020,2021,2022,2023
0,9,0,8,1,0
1,30,1,29,0,0
2,69,0,24,45,0
3,652,0,29,623,0
4,825,0,35,790,0
5,854,0,37,817,0
6,853,0,26,827,0
7,835,1,30,804,0
8,822,0,34,788,0
9,836,0,30,806,0
10,753,0,29,724,0
11,680,1,38,641,0
12,666,0,32,634,0
13,586,0,29,557,0
14,551,0,36,515,0
15,522,0,30,492,0
16,416,0,18,398,0
17,416,0,20,396,0
18,346,0,19,327,0
19,322,0,26,296,0
20,284,0,15,269,0
21,291,0,18,273,0
22,218,1,17,200,0
23,210,0,15,195,0
24,185,0,10,175,0
25,185,0,13,172,0
26,147,1,11,135,0
27,133,0,8,125,0
28,123,0,10,113,0
29,118,0,12,106,0
30,113,0,10,103,0
31,104,1,3,100,0
32,95,0,9,86,0
33,71,0,3,68,0
34,71,0,5,66,0
35,59,0,7,52,0
36,67,0,5,62,0
37,63,0,7,56,0
38,58,0,5,53,0
39,58,0,3,55,0
40,50,0,5,45,0
41,33,0,3,30,0
42,45,0,0,45,0
43,27,0,2,25,0
44,38,0,3,35,0
45,31,0,3,28,0
46,32,0,3,29,0
47,25,0,3,22,0
48,30,0,6,24,0
49,23,0,2,21,0
50,26,0,6,20,0
51,15,1,1,13,0
52,13,0,2,11,0
53,24,0,5,19,0
54,16,0,5,11,0
55,18,0,2,16,0
56,20,0,2,18,0
57,18,0,2,16,0
58,17,0,3,14,0
59,10,0,1,9,0
60,13,0,0,13,0
61,20,0,1,19,0
62,11,0,1,10,0
63,15,0,0,15,0
64,8,0,1,7,0
65,8,0,1,7,0
66,9,0,3,6,0
67,8,0,3,5,0
68,9,0,3,6,0
69,3,0,0,3,0
70,8,0,1,7,0
71,7,0,2,5,0
72,6,0,1,5,0
73,8,0,3,5,0
74,2,0,0,2,0
75,4,0,0,4,0
76,3,0,1,2,0
77,10,0,3,7,0
78,6,0,1,5,0
79,2,0,0,2,0
80,126,0,13,113,0
