county,total,2020,Jan_2020,Feb_2020,Mar_2020,Apr_2020,May_2020,Jun_2020,Jul_2020,Aug_2020,Sep_2020,Oct_2020,Nov_2020,Dec_2020,2021,Jan_2021,Feb_2021,Mar_2021,Apr_2021,May_2021,Jun_2021,Jul_2021,Aug_2021,Sep_2021,Oct_2021,Nov_2021,Dec_2021,2022,Jan_2022,Feb_2022,Mar_2022,Apr_2022,May_2022,Jun_2022,Jul_2022,Aug_2022,Sep_2022,Oct_2022,Nov_2022,Dec_2022,2023,Jan_2023,Feb_2023,Mar_2023,Apr_2023,May_2023,Jun_2023,Jul_2023,Aug_2023,Sep_2023,Oct_2023,Nov_2023,Dec_2023
total,9356254,56,2,19,25,9,0,0,0,0,0,0,0,1,14547,19,2,0,10,7223,6263,790,165,53,8,1,13,8817581,478,361,495,105521,1985966,1680298,796240,729591,1155667,1241087,580710,541167,524070,524070,0,0,0,0,0,0,0,0,0,0,0
Keelung,168290,1,0,0,1,0,0,0,0,0,0,0,0,0,317,0,0,0,0,131,171,10,3,0,2,0,0,159275,2,0,101,6062,51017,22266,11422,12560,22401,18926,7683,6835,8697,8697,0,0,0,0,0,0,0,0,0,0,0
Taipei,941056,8,0,0,5,3,0,0,0,0,0,0,0,0,4865,0,0,0,1,2714,1745,341,47,11,2,1,3,880306,24,26,35,21728,245942,102700,69289,80763,134180,121486,49442,54691,55877,55877,0,0,0,0,0,0,0,0,0,0,0
New_Taipei,1946170,18,0,9,7,2,0,0,0,0,0,0,0,0,6917,0,0,0,2,3459,3021,295,93,38,4,0,5,1830092,19,87,114,39012,569391,236135,136246,154200,253858,240492,96883,103655,109143,109143,0,0,0,0,0,0,0,0,0,0,0
Taoyuan,1026900,15,0,5,7,2,0,0,0,0,0,0,0,1,787,19,2,0,7,313,340,87,11,4,0,0,4,968899,304,127,64,16151,264618,151453,81885,80026,124691,127768,60306,61506,57199,57199,0,0,0,0,0,0,0,0,0,0,0
Hsinchu,260190,0,0,0,0,0,0,0,0,0,0,0,0,0,110,0,0,0,0,20,82,8,0,0,0,0,0,243564,5,4,61,1386,53499,42050,21875,22313,34687,32055,16254,19375,16516,16516,0,0,0,0,0,0,0,0,0,0,0
Hsinchu_C,209813,3,0,0,1,2,0,0,0,0,0,0,0,0,40,0,0,0,0,18,17,5,0,0,0,0,0,195705,6,0,5,962,34949,33750,17587,19539,29705,27574,14579,17049,14065,14065,0,0,0,0,0,0,0,0,0,0,0
Miaoli,211183,0,0,0,0,0,0,0,0,0,0,0,0,0,549,0,0,0,0,23,522,4,0,0,0,0,0,197541,0,14,0,563,32580,39193,21100,20591,27339,28606,13741,13814,13093,13093,0,0,0,0,0,0,0,0,0,0,0
Taichung,1152390,5,0,2,3,0,0,0,0,0,0,0,0,0,202,0,0,0,0,128,64,10,0,0,0,0,0,1085864,2,1,2,4660,178116,248287,104335,88200,148556,163502,78606,71597,66319,66319,0,0,0,0,0,0,0,0,0,0,0
Changhua,444236,4,1,3,0,0,0,0,0,0,0,0,0,0,270,0,0,0,0,153,107,8,2,0,0,0,0,422027,0,1,8,1071,59585,119973,40333,30036,51803,64496,28651,26070,21935,21935,0,0,0,0,0,0,0,0,0,0,0
