date,discharged,hospitalized,death
2020-01-01,0.0,0.0,0.0
2020-01-02,0.0,0.0,0.0
2020-01-03,0.0,0.0,0.0
2020-01-04,0.0,0.0,0.0
2020-01-05,0.0,0.0,0.0
2020-01-06,0.0,0.0,0.0
2020-01-07,0.0,0.0,0.0
2020-01-08,0.0,0.0,0.0
2020-01-09,0.0,0.0,0.0
2020-01-10,0.0,0.0,0.0
2020-01-11,0.0,0.0,0.0
2020-01-12,0.0,0.0,0.0
2020-01-13,0.0,0.0,0.0
2020-01-14,0.0,0.0,0.0
2020-01-15,0.0,0.0,0.0
2020-01-16,0.0,0.0,0.0
2020-01-17,0.0,0.0,0.0
2020-01-18,0.0,0.0,0.0
2020-01-19,0.0,0.0,0.0
2020-01-20,0.0,0.0,0.0
2020-01-21,0.0,1.0,0.0
2020-01-22,0.0,1.0,0.0
2020-01-23,0.0,1.0,0.0
2020-01-24,0.0,3.0,0.0
2020-01-25,0.0,3.0,0.0
2020-01-26,0.0,4.0,0.0
2020-01-27,0.0,5.0,0.0
2020-01-28,0.0,8.0,0.0
2020-01-29,0.0,8.0,0.0
2020-01-30,0.0,9.0,0.0
2020-01-31,0.0,10.0,0.0
2020-02-01,0.0,10.0,0.0
2020-02-02,0.0,10.0,0.0
2020-02-03,0.0,10.0,0.0
2020-02-04,0.0,11.0,0.0
2020-02-05,0.0,11.0,0.0
2020-02-06,1.0,15.0,0.0
2020-02-07,1.0,15.0,0.0
2020-02-08,1.0,16.0,0.0
2020-02-09,1.0,17.0,0.0
2020-02-10,1.0,17.0,0.0
2020-02-11,1.0,17.0,0.0
2020-02-12,1.0,17.0,0.0
2020-02-13,1.0,17.0,0.0
2020-02-14,1.0,17.0,0.0
2020-02-15,2.0,15.0,1.0
2020-02-16,2.0,17.0,1.0
2020-02-17,2.0,19.0,1.0
2020-02-18,2.0,19.0,1.0
2020-02-19,2.0,21.0,1.0
2020-02-20,2.0,21.0,1.0
2020-02-21,2.0,23.0,1.0
2020-02-22,2.0,23.0,1.0
2020-02-23,5.0,22.0,1.0
2020-02-24,5.0,24.0,1.0
2020-02-25,5.0,25.0,1.0
2020-02-26,5.0,26.0,1.0
2020-02-27,5.0,26.0,1.0
2020-02-28,9.0,24.0,1.0
2020-02-29,9.0,29.0,1.0
2020-03-01,12.0,27.0,1.0
2020-03-02,12.0,28.0,1.0
2020-03-03,12.0,29.0,1.0
2020-03-04,12.0,29.0,1.0
2020-03-05,12.0,31.0,1.0
2020-03-06,15.0,29.0,1.0
2020-03-07,15.0,29.0,1.0
2020-03-08,15.0,29.0,1.0
2020-03-09,15.0,29.0,1.0
2020-03-10,17.0,29.0,1.0
2020-03-11,17.0,30.0,1.0
2020-03-12,20.0,28.0,1.0
2020-03-13,20.0,29.0,1.0
2020-03-14,20.0,32.0,1.0
2020-03-15,20.0,38.0,1.0
2020-03-16,22.0,44.0,1.0
2020-03-17,22.0,54.0,1.0
2020-03-18,22.0,77.0,1.0
2020-03-19,26.0,81.0,1.0
2020-03-20,28.0,105.0,2.0
2020-03-21,28.0,123.0,2.0
2020-03-22,28.0,139.0,2.0
2020-03-23,29.0,164.0,2.0
2020-03-24,29.0,185.0,2.0
2020-03-25,29.0,204.0,2.0
2020-03-26,29.0,221.0,2.0
2020-03-27,30.0,235.0,2.0
2020-03-28,30.0,251.0,2.0
2020-03-29,39.0,254.0,5.0
2020-03-30,39.0,262.0,5.0
2020-03-31,39.0,278.0,5.0
2020-04-01,45.0,279.0,5.0
2020-04-02,50.0,284.0,5.0
2020-04-03,50.0,293.0,5.0
2020-04-04,50.0,300.0,5.0
2020-04-05,54.0,304.0,5.0
2020-04-06,57.0,311.0,5.0
2020-04-07,61.0,310.0,5.0
2020-04-08,67.0,307.0,5.0
2020-04-09,80.0,294.0,6.0
2020-04-10,91.0,285.0,6.0
2020-04-11,99.0,280.0,6.0
2020-04-12,109.0,273.0,6.0
2020-04-13,114.0,273.0,6.0
2020-04-14,124.0,263.0,6.0
2020-04-15,137.0,252.0,6.0
2020-04-16,155.0,234.0,6.0
2020-04-17,166.0,223.0,6.0
2020-04-18,178.0,214.0,6.0
2020-04-19,189.0,225.0,6.0
2020-04-20,203.0,213.0,6.0
2020-04-21,217.0,202.0,6.0
2020-04-22,236.0,184.0,6.0
2020-04-23,253.0,168.0,6.0
2020-04-24,264.0,158.0,6.0
2020-04-25,275.0,148.0,6.0
2020-04-26,281.0,142.0,6.0
2020-04-27,290.0,133.0,6.0
2020-04-28,307.0,116.0,6.0
2020-04-29,311.0,112.0,6.0
2020-04-30,322.0,101.0,6.0
2020-05-01,324.0,99.0,6.0
2020-05-02,324.0,102.0,6.0
2020-05-03,332.0,98.0,6.0
2020-05-04,334.0,98.0,6.0
2020-05-05,334.0,98.0,6.0
2020-05-06,339.0,94.0,6.0
2020-05-07,347.0,87.0,6.0
2020-05-08,355.0,79.0,6.0
2020-05-09,361.0,73.0,6.0
2020-05-10,366.0,67.0,7.0
2020-05-11,368.0,65.0,7.0
2020-05-12,372.0,61.0,7.0
2020-05-13,375.0,58.0,7.0
2020-05-14,383.0,50.0,7.0
2020-05-15,387.0,46.0,7.0
2020-05-16,389.0,44.0,7.0
2020-05-17,395.0,38.0,7.0
2020-05-18,398.0,35.0,7.0
2020-05-19,401.0,32.0,7.0
2020-05-20,402.0,31.0,7.0
2020-05-21,407.0,27.0,7.0
2020-05-22,408.0,26.0,7.0
2020-05-23,411.0,23.0,7.0
2020-05-24,414.0,20.0,7.0
2020-05-25,415.0,19.0,7.0
2020-05-26,416.0,18.0,7.0
2020-05-27,419.0,15.0,7.0
2020-05-28,420.0,14.0,7.0
2020-05-29,420.0,15.0,7.0
2020-05-30,421.0,14.0,7.0
2020-05-31,423.0,12.0,7.0
2020-06-01,427.0,9.0,7.0
2020-06-02,427.0,9.0,7.0
2020-06-03,428.0,8.0,7.0
2020-06-04,428.0,8.0,7.0
2020-06-05,429.0,7.0,7.0
2020-06-06,429.0,7.0,7.0
2020-06-07,430.0,6.0,7.0
2020-06-08,430.0,6.0,7.0
2020-06-09,430.0,6.0,7.0
2020-06-10,431.0,5.0,7.0
2020-06-11,431.0,5.0,7.0
2020-06-12,431.0,5.0,7.0
2020-06-13,431.0,5.0,7.0
2020-06-14,431.0,5.0,7.0
2020-06-15,433.0,5.0,7.0
2020-06-16,433.0,5.0,7.0
2020-06-17,434.0,4.0,7.0
2020-06-18,434.0,5.0,7.0
2020-06-19,434.0,5.0,7.0
2020-06-20,435.0,4.0,7.0
2020-06-21,435.0,4.0,7.0
2020-06-22,435.0,4.0,7.0
2020-06-23,435.0,4.0,7.0
2020-06-24,435.0,4.0,7.0
2020-06-25,435.0,5.0,7.0
2020-06-26,435.0,5.0,7.0
2020-06-27,435.0,5.0,7.0
2020-06-28,435.0,5.0,7.0
2020-06-29,435.0,5.0,7.0
2020-06-30,437.0,3.0,7.0
2020-07-01,438.0,2.0,7.0
2020-07-02,438.0,3.0,7.0
2020-07-03,438.0,4.0,7.0
2020-07-04,438.0,4.0,7.0
2020-07-05,438.0,4.0,7.0
2020-07-06,438.0,4.0,7.0
2020-07-07,438.0,4.0,7.0
2020-07-08,438.0,4.0,7.0
2020-07-09,438.0,4.0,7.0
2020-07-10,438.0,6.0,7.0
2020-07-11,438.0,6.0,7.0
2020-07-12,438.0,6.0,7.0
2020-07-13,438.0,6.0,7.0
2020-07-14,438.0,6.0,7.0
2020-07-15,440.0,4.0,7.0
2020-07-16,440.0,5.0,7.0
2020-07-17,440.0,7.0,7.0
2020-07-18,440.0,7.0,7.0
2020-07-19,440.0,8.0,7.0
2020-07-20,440.0,8.0,7.0
2020-07-21,440.0,8.0,7.0
2020-07-22,440.0,8.0,7.0
2020-07-23,440.0,8.0,7.0
2020-07-24,440.0,11.0,7.0
2020-07-25,440.0,11.0,7.0
2020-07-26,440.0,11.0,7.0
2020-07-27,440.0,15.0,7.0
2020-07-28,440.0,20.0,7.0
2020-07-29,440.0,20.0,7.0
2020-07-30,441.0,19.0,7.0
2020-07-31,441.0,19.0,7.0
2020-08-01,441.0,26.0,7.0
2020-08-02,441.0,27.0,7.0
2020-08-03,441.0,27.0,7.0
2020-08-04,441.0,28.0,7.0
2020-08-05,441.0,28.0,7.0
2020-08-06,443.0,27.0,7.0
2020-08-07,443.0,27.0,7.0
2020-08-08,443.0,29.0,7.0
2020-08-09,443.0,30.0,7.0
2020-08-10,443.0,30.0,7.0
2020-08-11,443.0,30.0,7.0
2020-08-12,450.0,24.0,7.0
2020-08-13,450.0,24.0,7.0
2020-08-14,450.0,24.0,7.0
2020-08-15,450.0,25.0,7.0
2020-08-16,450.0,27.0,7.0
2020-08-17,450.0,28.0,7.0
2020-08-18,450.0,29.0,7.0
2020-08-19,457.0,22.0,7.0
2020-08-20,457.0,22.0,7.0
2020-08-21,457.0,22.0,7.0
2020-08-22,457.0,23.0,7.0
2020-08-23,457.0,23.0,7.0
2020-08-24,457.0,23.0,7.0
2020-08-25,457.0,23.0,7.0
2020-08-26,457.0,23.0,7.0
2020-08-27,462.0,18.0,7.0
2020-08-28,462.0,18.0,7.0
2020-08-29,462.0,19.0,7.0
2020-08-30,462.0,19.0,7.0
2020-08-31,462.0,19.0,7.0
2020-09-01,462.0,19.0,7.0
2020-09-02,462.0,20.0,7.0
2020-09-03,462.0,20.0,7.0
2020-09-04,471.0,12.0,7.0
2020-09-05,471.0,14.0,7.0
2020-09-06,471.0,15.0,7.0
2020-09-07,475.0,12.0,7.0
2020-09-08,475.0,13.0,7.0
2020-09-09,475.0,13.0,7.0
2020-09-10,475.0,14.0,7.0
2020-09-11,475.0,16.0,7.0
2020-09-12,475.0,16.0,7.0
2020-09-13,475.0,16.0,7.0
2020-09-14,475.0,17.0,7.0
2020-09-15,475.0,17.0,7.0
2020-09-16,475.0,18.0,7.0
2020-09-17,475.0,21.0,7.0
2020-09-18,475.0,21.0,7.0
2020-09-19,479.0,20.0,7.0
2020-09-20,479.0,21.0,7.0
2020-09-21,479.0,23.0,7.0
2020-09-22,479.0,23.0,7.0
2020-09-23,480.0,22.0,7.0
2020-09-24,480.0,22.0,7.0
2020-09-25,480.0,23.0,7.0
2020-09-26,480.0,23.0,7.0
2020-09-27,480.0,23.0,7.0
2020-09-28,482.0,24.0,7.0
2020-09-29,482.0,24.0,7.0
2020-09-30,483.0,24.0,7.0
2020-10-01,483.0,25.0,7.0
2020-10-02,484.0,26.0,7.0
2020-10-03,484.0,26.0,7.0
2020-10-04,484.0,26.0,7.0
2020-10-05,484.0,27.0,7.0
2020-10-06,485.0,29.0,7.0
2020-10-07,486.0,30.0,7.0
2020-10-08,487.0,30.0,7.0
2020-10-09,487.0,33.0,7.0
2020-10-10,487.0,33.0,7.0
2020-10-11,487.0,33.0,7.0
2020-10-12,489.0,33.0,7.0
2020-10-13,489.0,33.0,7.0
2020-10-14,491.0,31.0,7.0
2020-10-15,491.0,32.0,7.0
2020-10-16,491.0,36.0,7.0
2020-10-17,491.0,36.0,7.0
2020-10-18,491.0,36.0,7.0
2020-10-19,493.0,39.0,7.0
2020-10-20,495.0,40.0,7.0
2020-10-21,495.0,41.0,7.0
2020-10-22,497.0,43.0,7.0
2020-10-23,497.0,43.0,7.0
2020-10-24,502.0,40.0,7.0
2020-10-25,502.0,40.0,7.0
2020-10-26,502.0,40.0,7.0
2020-10-27,502.0,40.0,7.0
2020-10-28,508.0,35.0,7.0
2020-10-29,513.0,33.0,7.0
2020-10-30,514.0,33.0,7.0
2020-10-31,515.0,33.0,7.0
2020-11-01,518.0,33.0,7.0
2020-11-02,519.0,37.0,7.0
2020-11-03,521.0,39.0,7.0
2020-11-04,521.0,40.0,7.0
2020-11-05,523.0,39.0,7.0
2020-11-06,523.0,43.0,7.0
2020-11-07,523.0,43.0,7.0
2020-11-08,524.0,46.0,7.0
2020-11-09,526.0,45.0,7.0
2020-11-10,528.0,45.0,7.0
2020-11-11,528.0,49.0,7.0
2020-11-12,532.0,50.0,7.0
2020-11-13,533.0,57.0,7.0
2020-11-14,535.0,58.0,7.0
2020-11-15,536.0,59.0,7.0
2020-11-16,536.0,60.0,7.0
2020-11-17,539.0,59.0,7.0
2020-11-18,541.0,59.0,7.0
2020-11-19,545.0,57.0,7.0
2020-11-20,546.0,58.0,7.0
2020-11-21,546.0,58.0,7.0
2020-11-22,548.0,62.0,7.0
2020-11-23,548.0,63.0,7.0
2020-11-24,548.0,63.0,7.0
2020-11-25,549.0,67.0,7.0
2020-11-26,555.0,63.0,7.0
2020-11-27,555.0,77.0,7.0
2020-11-28,556.0,85.0,7.0
2020-11-29,565.0,79.0,7.0
2020-11-30,565.0,103.0,7.0
2020-12-01,568.0,104.0,7.0
2020-12-02,570.0,108.0,7.0
2020-12-03,572.0,107.0,7.0
2020-12-04,572.0,111.0,7.0
2020-12-05,574.0,113.0,7.0
2020-12-06,574.0,135.0,7.0
2020-12-07,574.0,135.0,7.0
2020-12-08,582.0,129.0,7.0
2020-12-09,585.0,128.0,7.0
2020-12-10,590.0,127.0,7.0
2020-12-11,595.0,123.0,7.0
2020-12-12,601.0,125.0,7.0
2020-12-13,606.0,123.0,7.0
2020-12-14,606.0,127.0,7.0
2020-12-15,611.0,124.0,7.0
2020-12-16,612.0,130.0,7.0
2020-12-17,616.0,134.0,7.0
2020-12-18,619.0,133.0,7.0
2020-12-19,625.0,131.0,7.0
2020-12-20,627.0,132.0,7.0
2020-12-21,627.0,132.0,7.0
2020-12-22,632.0,131.0,7.0
2020-12-23,632.0,137.0,7.0
2020-12-24,635.0,134.0,7.0
2020-12-25,640.0,133.0,7.0
2020-12-26,647.0,129.0,7.0
2020-12-27,653.0,125.0,7.0
2020-12-28,654.0,132.0,7.0
2020-12-29,661.0,127.0,7.0
2020-12-30,661.0,129.0,7.0
2020-12-31,671.0,121.0,7.0
2020-01-01,682.0,113.0,7.0
2021-01-02,686.0,115.0,7.0
2021-01-03,689.0,116.0,7.0
2021-01-04,696.0,112.0,7.0
2021-01-05,697.0,113.0,7.0
2021-01-06,697.0,115.0,7.0
2021-01-07,708.0,107.0,7.0
2021-01-08,714.0,104.0,7.0
2021-01-09,720.0,101.0,7.0
2021-01-10,720.0,101.0,7.0
2021-01-11,726.0,101.0,7.0
2021-01-12,730.0,101.0,7.0
2021-01-13,730.0,105.0,7.0
2021-01-14,731.0,104.0,7.0
2021-01-15,741.0,95.0,7.0
2021-01-16,751.0,93.0,7.0
2021-01-17,755.0,93.0,7.0
2021-01-18,756.0,99.0,7.0
2021-01-19,766.0,95.0,7.0
2021-01-20,769.0,94.0,7.0
