date,interpolated,ppl_vacc_rate,ppl_fully_vacc_rate,ppl_vacc_3_rate,ppl_vacc_4_rate
2021-03-01,1,0.0,0.0,0.0,0.0
2021-03-02,1,0.0,0.0,0.0,0.0
2021-03-03,1,0.0,0.0,0.0,0.0
2021-03-04,1,0.0,0.0,0.0,0.0
2021-03-05,1,0.0,0.0,0.0,0.0
2021-03-06,1,0.0,0.0,0.0,0.0
2021-03-07,1,0.0,0.0,0.0,0.0
2021-03-08,1,0.0,0.0,0.0,0.0
2021-03-09,1,0.0,0.0,0.0,0.0
2021-03-10,1,0.0,0.0,0.0,0.0
2021-03-11,1,0.0,0.0,0.0,0.0
2021-03-12,1,0.0,0.0,0.0,0.0
2021-03-13,1,0.0,0.0,0.0,0.0
2021-03-14,1,0.0,0.0,0.0,0.0
2021-03-15,1,0.0,0.0,0.0,0.0
2021-03-16,1,0.0,0.0,0.0,0.0
2021-03-17,1,0.0,0.0,0.0,0.0
2021-03-18,1,0.0,0.0,0.0,0.0
2021-03-19,1,0.0,0.0,0.0,0.0
2021-03-20,1,0.0,0.0,0.0,0.0
2021-03-21,0,0.0,0.0,0.0,0.0
2021-03-22,0,0.0001,0.0,0.0,0.0
2021-03-23,0,0.0001,0.0,0.0,0.0
2021-03-24,0,0.0002,0.0,0.0,0.0
2021-03-25,0,0.0003,0.0,0.0,0.0
2021-03-26,0,0.0004,0.0,0.0,0.0
2021-03-27,0,0.0004,0.0,0.0,0.0
2021-03-28,0,0.0004,0.0,0.0,0.0
2021-03-29,0,0.0005,0.0,0.0,0.0
2021-03-30,0,0.0005,0.0,0.0,0.0
2021-03-31,0,0.0006,0.0,0.0,0.0
2021-04-01,0,0.0007,0.0,0.0,0.0
2021-04-02,0,0.0007,0.0,0.0,0.0
2021-04-03,0,0.0007,0.0,0.0,0.0
2021-04-04,0,0.0007,0.0,0.0,0.0
2021-04-05,0,0.0007,0.0,0.0,0.0
2021-04-06,0,0.0008,0.0,0.0,0.0
2021-04-07,0,0.0009,0.0,0.0,0.0
2021-04-08,0,0.0009,0.0,0.0,0.0
2021-04-09,0,0.001,0.0,0.0,0.0
2021-04-10,0,0.001,0.0,0.0,0.0
2021-04-11,0,0.001,0.0,0.0,0.0
2021-04-12,0,0.0011,0.0,0.0,0.0
2021-04-13,0,0.0011,0.0,0.0,0.0
2021-04-14,0,0.0012,0.0,0.0,0.0
2021-04-15,0,0.0013,0.0,0.0,0.0
2021-04-16,0,0.0014,0.0,0.0,0.0
2021-04-17,0,0.0014,0.0,0.0,0.0
2021-04-18,1,0.0014,0.0,0.0,0.0
2021-04-19,1,0.0014,0.0,0.0,0.0
2021-04-20,0,0.0014,0.0,0.0,0.0
2021-04-21,0,0.0016,0.0,0.0,0.0
2021-04-22,0,0.0017,0.0,0.0,0.0
2021-04-23,0,0.0018,0.0,0.0,0.0
2021-04-24,0,0.0018,0.0,0.0,0.0
2021-04-25,1,0.0019,0.0,0.0,0.0
2021-04-26,0,0.0019,0.0,0.0,0.0
2021-04-27,0,0.002,0.0,0.0,0.0
2021-04-28,0,0.0022,0.0,0.0,0.0
2021-04-29,0,0.0023,0.0,0.0,0.0
2021-04-30,0,0.0025,0.0,0.0,0.0
2021-05-01,1,0.0025,0.0,0.0,0.0
2021-05-02,0,0.0025,0.0,0.0,0.0
2021-05-03,0,0.0026,0.0,0.0,0.0
2021-05-04,0,0.0029,0.0,0.0,0.0
2021-05-05,0,0.0031,0.0,0.0,0.0
2021-05-06,0,0.0034,0.0,0.0,0.0
2021-05-07,0,0.0039,0.0,0.0,0.0
2021-05-08,1,0.0039,0.0,0.0,0.0
2021-05-09,0,0.0039,0.0,0.0,0.0
2021-05-10,1,0.0043,0.0,0.0,0.0
2021-05-11,0,0.0048,0.0,0.0,0.0
2021-05-12,0,0.0055,0.0,0.0,0.0
2021-05-13,0,0.0064,0.0,0.0,0.0
2021-05-14,0,0.0079,0.0,0.0,0.0
2021-05-15,1,0.0081,0.0,0.0,0.0
2021-05-16,0,0.0083,0.0,0.0,0.0
2021-05-17,0,0.0093,0.0,0.0,0.0
