month,link
2021-03,https://www.fda.gov.tw/TC/includes/GetFile.ashx?id=f637535562081700777
2021-04,https://www.fda.gov.tw/TC/includes/GetFile.ashx?id=f637558184907650191
2021-05,https://www.fda.gov.tw/TC/includes/GetFile.ashx?id=f637584168929602989
2021-06,https://www.fda.gov.tw/TC/includes/GetFile.ashx?id=f637608147658280725
2021-07,https://www.fda.gov.tw/TC/includes/GetFile.ashx?id=f637641134152043482
2021-08,https://www.fda.gov.tw/TC/includes/GetFile.ashx?id=f637707534805440075
2021-09,https://www.fda.gov.tw/TC/includes/GetFile.ashx?id=f637697404423272822
2021-10,https://www.fda.gov.tw/TC/includes/GetFile.ashx?id=f637716363065289877
2021-11,https://www.fda.gov.tw/TC/includes/GetFile.ashx?id=f637741191377186898
2021-12,https://www.fda.gov.tw/TC/includes/GetFile.ashx?id=f637801673911438363
2022-01,https://www.fda.gov.tw/TC/includes/GetFile.ashx?id=f637882938044257290
2022-02,https://www.fda.gov.tw/TC/includes/GetFile.ashx?id=f637818952165220271
2022-03,https://www.fda.gov.tw/TC/includes/GetFile.ashx?id=f637848437072514591
2022-04,https://www.fda.gov.tw/TC/includes/GetFile.ashx?id=f637879431405750889
2022-05,https://www.fda.gov.tw/TC/includes/GetFile.ashx?id=f637902751497987817
2022-06,https://www.fda.gov.tw/TC/includes/GetFile.ashx?id=f637932151801494496
2022-07,https://www.fda.gov.tw/TC/includes/GetFile.ashx?id=f637951347967034141
2022-08,https://www.fda.gov.tw/TC/includes/GetFile.ashx?id=f637979938217806761
2022-09,https://www.fda.gov.tw/TC/includes/GetFile.ashx?id=f638012623837640579
2022-10,https://www.fda.gov.tw/TC/includes/GetFile.ashx?id=f638036742605271331
2022-11,https://www.fda.gov.tw/TC/includes/GetFile.ashx?id=f638059139837148280
2022-12,https://www.fda.gov.tw/TC/includes/GetFile.ashx?id=f638084289521558302
2023-01,https://www.fda.gov.tw/TC/includes/GetFile.ashx?id=f638115279591849909
2023-02,https://www.fda.gov.tw/TC/includes/GetFile.ashx?id=f638137000980351261
2023-03,https://www.fda.gov.tw/TC/includes/GetFile.ashx?id=f638169141618996702
