date,interpolated,total,AZ,Moderna,Medigen,Pfizer,Novavax
2021-03-01,1,0,0,0,0,0,0
2021-03-02,1,0,0,0,0,0,0
2021-03-03,1,0,0,0,0,0,0
2021-03-04,1,0,0,0,0,0,0
2021-03-05,1,0,0,0,0,0,0
2021-03-06,1,0,0,0,0,0,0
2021-03-07,1,0,0,0,0,0,0
2021-03-08,1,0,0,0,0,0,0
2021-03-09,1,0,0,0,0,0,0
2021-03-10,1,0,0,0,0,0,0
2021-03-11,1,0,0,0,0,0,0
2021-03-12,1,0,0,0,0,0,0
2021-03-13,1,0,0,0,0,0,0
2021-03-14,1,0,0,0,0,0,0
2021-03-15,1,0,0,0,0,0,0
2021-03-16,1,0,0,0,0,0,0
2021-03-17,1,0,0,0,0,0,0
2021-03-18,1,0,0,0,0,0,0
2021-03-19,1,0,0,0,0,0,0
2021-03-20,1,0,0,0,0,0,0
2021-03-21,0,0,0,0,0,0,0
2021-03-22,0,1578,1578,0,0,0,0
2021-03-23,0,3218,3218,0,0,0,0
2021-03-24,0,5169,5169,0,0,0,0
2021-03-25,0,7053,7053,0,0,0,0
2021-03-26,0,9232,9232,0,0,0,0
2021-03-27,0,9377,9377,0,0,0,0
2021-03-28,0,9412,9412,0,0,0,0
2021-03-29,0,10891,10891,0,0,0,0
2021-03-30,0,12648,12648,0,0,0,0
2021-03-31,0,14400,14400,0,0,0,0
2021-04-01,0,16450,16450,0,0,0,0
2021-04-02,0,17056,17056,0,0,0,0
2021-04-03,0,17078,17078,0,0,0,0
2021-04-04,0,17078,17078,0,0,0,0
2021-04-05,0,17245,17245,0,0,0,0
2021-04-06,0,18657,18657,0,0,0,0
2021-04-07,0,20075,20075,0,0,0,0
2021-04-08,0,21873,21873,0,0,0,0
2021-04-09,0,24450,24450,0,0,0,0
2021-04-10,0,24658,24658,0,0,0,0
2021-04-11,0,24701,24701,0,0,0,0
2021-04-12,0,25882,25882,0,0,0,0
2021-04-13,0,27113,27113,0,0,0,0
2021-04-14,0,28497,28497,0,0,0,0
2021-04-15,0,30039,30039,0,0,0,0
2021-04-16,0,32389,32389,0,0,0,0
2021-04-17,0,32450,32450,0,0,0,0
2021-04-18,1,33032,33032,0,0,0,0
2021-04-19,1,33614,33614,0,0,0,0
2021-04-20,0,34197,34197,0,0,0,0
2021-04-21,0,36731,36731,0,0,0,0
2021-04-22,0,39221,39221,0,0,0,0
2021-04-23,0,42523,42523,0,0,0,0
2021-04-24,0,42672,42672,0,0,0,0
2021-04-25,1,44029,44029,0,0,0,0
2021-04-26,0,45387,45387,0,0,0,0
2021-04-27,0,48180,48180,0,0,0,0
2021-04-28,0,50833,50833,0,0,0,0
2021-04-29,0,54189,54189,0,0,0,0
2021-04-30,0,57884,57884,0,0,0,0
2021-05-01,1,58068,58068,0,0,0,0
2021-05-02,0,58252,58252,0,0,0,0
2021-05-03,0,62437,62437,0,0,0,0
2021-05-04,0,67931,67931,0,0,0,0
2021-05-05,0,73988,73988,0,0,0,0
2021-05-06,0,80861,80861,0,0,0,0
2021-05-07,0,91002,91002,0,0,0,0
2021-05-08,1,91525,91525,0,0,0,0
2021-05-09,0,92049,92049,0,0,0,0
2021-05-10,1,102296,102296,0,0,0,0
2021-05-11,0,112543,112543,0,0,0,0
2021-05-12,0,129669,129669,0,0,0,0
2021-05-13,0,151997,151997,0,0,0,0
2021-05-14,0,186149,186149,0,0,0,0
2021-05-15,1,190413,190413,0,0,0,0
2021-05-16,0,194678,194678,0,0,0,0
2021-05-17,0,220352,220352,0,0,0,0
2021-05-18,0,245008,245008,0,0,0,0
2021-05-19,0,264589,264589,0,0,0,0
2021-05-20,0,281647,281647,0,0,0,0
2021-05-21,0,299844,299844,0,0,0,0
2021-05-22,1,301271,301271,0,0,0,0
2021-05-23,0,302698,302698,0,0,0,0
2021-05-24,0,311678,311678,0,0,0,0
2021-05-25,0,319665,319665,0,0,0,0
2021-05-26,1,349960,349960,0,0,0,0
2021-05-27,1,380256,380256,0,0,0,0
2021-05-28,1,410551,410551,0,0,0,0
2021-05-29,1,440847,440847,0,0,0,0
2021-05-30,1,471142,471142,0,0,0,0
2021-05-31,1,501438,501438,0,0,0,0
2021-06-01,1,531733,531733,0,0,0,0
2021-06-02,0,562029,562029,0,0,0,0
2021-06-03,0,624132,624132,0,0,0,0
2021-06-04,0,678418,678418,0,0,0,0
2021-06-05,1,688802,688802,0,0,0,0
2021-06-06,0,699187,699187,0,0,0,0
2021-06-07,0,724819,724819,0,0,0,0
2021-06-08,0,743578,743578,0,0,0,0
2021-06-09,0,759746,759746,0,0,0,0
2021-06-10,0,782300,767160,15140,0,0,0
2021-06-11,0,799129,774260,24869,0,0,0
2021-06-12,1,817794,790752,27042,0,0,0
2021-06-13,1,836459,807244,29215,0,0,0
2021-06-14,0,855125,823736,31389,0,0,0
2021-06-15,0,1009160,971655,37505,0,0,0
2021-06-16,0,1178104,1133515,44589,0,0,0
2021-06-17,0,1321839,1273121,48718,0,0,0
2021-06-18,0,1429514,1374956,54558,0,0,0
2021-06-19,1,1485623,1426679,58944,0,0,0
2021-06-20,0,1541732,1478402,63330,0,0,0
2021-06-21,0,1616384,1541941,74443,0,0,0
2021-06-22,0,1681936,1595589,86347,0,0,0
2021-06-23,0,1746130,1650166,95964,0,0,0
2021-06-24,0,1835225,1729057,106168,0,0,0
2021-06-25,0,1905474,1789224,116250,0,0,0
2021-06-26,1,1916223,1798702,117521,0,0,0
2021-06-27,0,1926973,1808180,118793,0,0,0
2021-06-28,0,1964592,1839324,125268,0,0,0
2021-06-29,0,2002677,1872246,130431,0,0,0
2021-06-30,0,2043218,1908861,134357,0,0,0
2021-07-01,0,2087587,1930298,157289,0,0,0
2021-07-02,0,2278338,1949113,329225,0,0,0
2021-07-03,1,2398599,1952337,446262,0,0,0
2021-07-04,0,2518860,1955561,563299,0,0,0
2021-07-05,0,2628789,1963999,664790,0,0,0
