index,date,source,total,AZ,Moderna,Medigen,Pfizer
443,2021-03-19,AZ,116500,116500,0,0,0
468,2021-04-13,COVAX,315100,315100,0,0,0
512,2021-05-27,COVAX,724900,724900,0,0,0
524,2021-06-08,Moderna,873700,724900,148800,0,0
528,2021-06-12,Japan,2111560,1962760,148800,0,0
542,2021-06-26,Moderna,2350960,1962760,388200,0,0
545,2021-06-29,USA,4849400,1962760,2886640,0,0
555,2021-07-09,Moderna,5259200,1962760,3296440,0,0
561,2021-07-15,AZ,5885100,2588660,3296440,0,0
562,2021-07-16,Japan,7016880,3720440,3296440,0,0
569,2021-07-23,Japan,7990360,4693920,3296440,0,0
569,2021-07-23,AZ,8550460,5254020,3296440,0,0
569,2021-07-23,Moderna,8899660,5254020,3645640,0,0
579,2021-08-02,Medigen,9165188,5254020,3645640,265528,0
581,2021-08-04,AZ,9746588,5835420,3645640,265528,0
582,2021-08-05,Medigen,9833498,5835420,3645640,352438,0
587,2021-08-10,Lithuania,9852898,5854820,3645640,352438,0
594,2021-08-17,Moderna,9951898,5854820,3744640,352438,0
594,2021-08-17,Medigen,10213664,5854820,3744640,614204,0
597,2021-08-20,AZ,10737864,6379020,3744640,614204,0
601,2021-08-24,Moderna,10986864,6379020,3993640,614204,0
601,2021-08-24,Medigen,11250450,6379020,3993640,877790,0
612,2021-09-04,AZ,11514850,6643420,3993640,877790,0
615,2021-09-07,Czechia,11543650,6643420,4022440,877790,0
615,2021-09-07,AZ,12138550,7238320,4022440,877790,0
615,2021-09-07,Medigen,12225485,7238320,4022440,964725,0
622,2021-09-14,Poland,12625685,7638520,4022440,964725,0
622,2021-09-14,COVAX,13035485,8048320,4022440,964725,0
622,2021-09-14,Medigen,13207166,8048320,4022440,1136406,0
623,2021-09-15,Japan,13269966,8111120,4022440,1136406,0
625,2021-09-17,Pfizer,14200698,8111120,4022440,1136406,930732
625,2021-09-17,Pfizer,15110370,8111120,4022440,1136406,1840404
626,2021-09-18,AZ,15568170,8568920,4022440,1136406,1840404
632,2021-09-24,Medigen,15652450,8568920,4022440,1220686,1840404
633,2021-09-25,AZ,16293350,9209820,4022440,1220686,1840404
634,2021-09-26,Moderna,17375850,9209820,5104940,1220686,1840404
636,2021-09-28,Medigen,17761530,9209820,5104940,1606366,1840404
637,2021-09-29,Medigen,17917030,9209820,5104940,1761866,1840404
638,2021-09-30,Medigen,17998730,9209820,5104940,1843566,1840404
643,2021-10-05,Japan,18656360,9867450,5104940,1843566,1840404
646,2021-10-08,Pfizer,19203332,9867450,5104940,1843566,2387376
646,2021-10-08,AZ,19859532,10523650,5104940,1843566,2387376
647,2021-10-09,Pfizer,20535694,10523650,5104940,1843566,3063538
651,2021-10-13,Pfizer,20798356,10523650,5104940,1843566,3326200
652,2021-10-14,Medigen,21429540,10523650,5104940,2474750,3326200
653,2021-10-15,Pfizer,22318152,10523650,5104940,2474750,4214812
654,2021-10-16,Pfizer,23206764,10523650,5104940,2474750,5103424
657,2021-10-19,Moderna,24338264,10523650,6236440,2474750,5103424
657,2021-10-19,Lithuania,24569964,10755350,6236440,2474750,5103424
657,2021-10-19,Medigen,25348308,10755350,6236440,3253094,5103424
660,2021-10-22,AZ,26707908,12114950,6236440,3253094,5103424
660,2021-10-22,Pfizer,27534510,12114950,6236440,3253094,5930026
661,2021-10-23,Medigen,27620107,12114950,6236440,3338691,5930026
665,2021-10-27,Medigen,27706044,12114950,6236440,3424628,5930026
668,2021-10-30,Medigen,28247044,12114950,6236440,3965628,5930026
672,2021-11-03,Medigen,28502854,12114950,6236440,4221438,5930026
674,2021-11-05,Japan,28803254,12415350,6236440,4221438,5930026
674,2021-11-05,Pfizer,29698886,12415350,6236440,4221438,6825658
678,2021-11-09,Pfizer,30608558,12415350,6236440,4221438,7735330
679,2021-11-10,USA,32108098,12415350,7735980,4221438,7735330
680,2021-11-11,Medigen,32379538,12415350,7735980,4492878,7735330
682,2021-11-13,AZ,32520838,12556650,7735980,4492878,7735330
684,2021-11-15,AZ,33114338,13150150,7735980,4492878,7735330
685,2021-11-16,Pfizer,33944450,13150150,7735980,4492878,8565442
688,2021-11-19,Medigen,34494020,13150150,7735980,5042448,8565442
692,2021-11-23,Pfizer,35420072,13150150,7735980,5042448,9491494
692,2021-11-23,Moderna,36645572,13150150,8961480,5042448,9491494
696,2021-11-27,AZ,37320672,13825250,8961480,5042448,9491494
699,2021-11-30,Moderna,38470492,13825250,10111300,5042448,9491494
702,2021-12-03,Pfizer,39408792,13825250,10111300,5042448,10429794
716,2021-12-17,Pfizer,41332292,13825250,10111300,5042448,12353294
