symptom,trav_hist,value,label
cough,USA,0.025618981646913,+3%
fever,USA,0.08485519431234836,+8%
throatache,USA,0.0025187655168202273,+0%
sneezing,USA,-0.03774761875363168,-4%
fatigue,USA,-0.054672799421646864,-5%
soreness,USA,0.10406231273510774,+10%
anosmia,USA,-0.0007953807342812209,-0%
headache,USA,0.03824882456693306,+4%
asymptomatic,USA,-0.1398863699161325,-14%
diarrhea,USA,-0.020907747761658577,-2%
ageusia,USA,0.0030145083211305067,+0%
pneumonia,USA,-0.027014565446685727,-3%
chest pain,USA,0.0061427471861594946,+1%
dyspnea,USA,0.04203291893990167,+4%
cough,UK,0.06894750466196599,+7%
fever,UK,-0.048562213292857745,-5%
throatache,UK,0.11586459959663309,+12%
sneezing,UK,0.17118834802563407,+17%
fatigue,UK,0.016235900390970295,+2%
soreness,UK,-0.04447057962667774,-4%
anosmia,UK,0.0869065575710895,+9%
headache,UK,0.07123584042197893,+7%
asymptomatic,UK,-0.14412238188562604,-14%
diarrhea,UK,-0.06958769468619475,-7%
ageusia,UK,0.08555737378208568,+9%
pneumonia,UK,-0.06917592000395983,-7%
chest pain,UK,-0.03703845630696339,-4%
dyspnea,UK,0.02409284549035501,+2%
cough,Philippines,-0.01679510289798131,-2%
fever,Philippines,-0.0816666331746318,-8%
throatache,Philippines,-0.08810644923225472,-9%
sneezing,Philippines,-0.11296070551908803,-11%
fatigue,Philippines,0.012314773164437832,+1%
soreness,Philippines,0.08092691825376,+8%
anosmia,Philippines,0.04379091109568933,+4%
headache,Philippines,-0.05628937156841684,-6%
asymptomatic,Philippines,0.24340656000928568,+24%
diarrhea,Philippines,0.09592698209481199,+10%
ageusia,Philippines,-0.025222214257438803,-3%
pneumonia,Philippines,-0.015643010741304524,-2%
chest pain,Philippines,0.020304594687582833,+2%
dyspnea,Philippines,-0.0005289520084818845,-0%
cough,France,0.050590556432300315,+5%
fever,France,0.034648856909386655,+3%
throatache,France,0.10569843430129763,+11%
sneezing,France,0.08984904181133008,+9%
fatigue,France,0.08556479321879501,+9%
soreness,France,-0.03636630910365333,-4%
anosmia,France,-0.06127172079282134,-6%
headache,France,0.07022242565938533,+7%
asymptomatic,France,-0.06577179051526039,-7%
diarrhea,France,-0.03751242805052887,-4%
ageusia,France,-0.05095496836647104,-5%
pneumonia,France,-0.06819181006530144,-7%
chest pain,France,0.011574753973008771,+1%
dyspnea,France,-0.02234885810894586,-2%
cough,Indonesia,-0.1042580928429723,-10%
fever,Indonesia,-0.0499775613232898,-5%
throatache,Indonesia,-0.07611518524258147,-8%
sneezing,Indonesia,-0.1159331584417611,-12%
fatigue,Indonesia,0.017517370415845064,+2%
soreness,Indonesia,-0.04455121073083729,-4%
anosmia,Indonesia,0.010318400305507028,+1%
headache,Indonesia,-0.025018408963926677,-3%
asymptomatic,Indonesia,0.22713430750783584,+23%
diarrhea,Indonesia,-0.021900761002877633,-2%
ageusia,Indonesia,-0.004447455482472584,-0%
pneumonia,Indonesia,-0.020223907547851246,-2%
chest pain,Indonesia,-0.05850131263792869,-6%
dyspnea,Indonesia,-0.011723146825704526,-1%
cough,Spain,-0.005199815060439969,-1%
fever,Spain,-0.05452904455151457,-5%
throatache,Spain,0.041998172282045894,+4%
sneezing,Spain,0.02116964645796596,+2%
fatigue,Spain,-0.07019887739044767,-7%
soreness,Spain,-0.08883139583201391,-9%
anosmia,Spain,-0.0281332992090807,-3%
headache,Spain,-0.043159555935866546,-4%
asymptomatic,Spain,-0.04075951981749132,-4%
diarrhea,Spain,-0.006323439523087399,-1%
ageusia,Spain,-0.06590947100412034,-7%
pneumonia,Spain,-0.054532183410191296,-5%
chest pain,Spain,0.0414843417666851,+4%
dyspnea,Spain,-0.0010807024831407316,-0%
cough,Czechia,-0.0399084499237576,-4%
fever,Czechia,-0.0026697990909115496,-0%
throatache,Czechia,-0.038317163147224366,-4%
sneezing,Czechia,-0.0911306390967464,-9%
fatigue,Czechia,-0.04943418851564774,-5%
soreness,Czechia,-0.0032348372338719122,-0%
anosmia,Czechia,-0.07455905331729144,-7%
headache,Czechia,-0.06460266411234691,-6%
asymptomatic,Czechia,0.058279819761016025,+6%
diarrhea,Czechia,0.0987444565228885,+10%
ageusia,Czechia,-0.055319943097636895,-6%
pneumonia,Czechia,0.11337030234921568,+11%
chest pain,Czechia,0.011211764681256075,+1%
dyspnea,Czechia,-0.04190656110640178,-4%
cough,Turkey,-0.02993628276081338,-3%
fever,Turkey,0.033814264423477985,+3%
throatache,Turkey,-0.0313709941488664,-3%
sneezing,Turkey,-0.029767246202453312,-3%
fatigue,Turkey,0.09189311857641982,+9%
soreness,Turkey,-0.07194861473514229,-7%
anosmia,Turkey,-0.035076989043210084,-4%
headache,Turkey,-0.02126494291651759,-2%
asymptomatic,Turkey,0.0227697149312824,+2%
diarrhea,Turkey,0.022769714931282405,+2%
ageusia,Turkey,-0.006801707506618543,-1%
pneumonia,Turkey,-0.04416811216459572,-4%
chest pain,Turkey,-0.04233608543633841,-4%
dyspnea,Turkey,-0.040439341512131376,-4%
cough,China,-0.007850660731150743,-1%
fever,China,0.059246762348999484,+6%
throatache,China,-0.0764342311148085,-8%
sneezing,China,-0.0448302682113264,-4%
fatigue,China,-0.07365873250256696,-7%
soreness,China,-0.02672462051095758,-3%
anosmia,China,-0.06645991153382863,-7%
headache,China,-0.013318992796027645,-1%
asymptomatic,China,-0.056258183093511716,-6%
diarrhea,China,-0.056258183093511736,-6%
ageusia,China,-0.04931069213928383,-5%
pneumonia,China,0.13651867479185908,+14%
chest pain,China,0.022268931605053326,+2%
dyspnea,China,0.026600838090127633,+3%
