symptom,trav_hist,value,label
cough,USA,0.0011896668314181087,46
fever,USA,0.060379100281062525,49
throatache,USA,-0.03512864943783834,29
sneezing,USA,-0.07173372855981094,25
fatigue,USA,-0.08281543192007995,11
soreness,USA,0.11774780551884273,19
anosmia,USA,0.012695841584523696,13
headache,USA,0.051692358589424156,14
diarrhea,USA,0.018040335786633218,9
pneumonia,USA,-0.052568418000251436,5
ageusia,USA,0.04046925489332104,8
chest pain,USA,0.0031648232544273514,6
dyspnea,USA,0.039786145282387636,6
asymptomatic,USA,-0.07670963039993967,2
cough,UK,0.06405400919100201,43
fever,UK,-0.10057573631960517,30
throatache,UK,0.09928504459458876,33
sneezing,UK,0.16456532289435527,36
fatigue,UK,0.018081162329077728,14
soreness,UK,-0.03776784140103398,9
anosmia,UK,0.13978184435671304,17
headache,UK,0.07362288796422575,13
diarrhea,UK,-0.07271170218584672,4
pneumonia,UK,-0.10538585825269389,2
ageusia,UK,0.12859355769440228,10
chest pain,UK,-0.05647120773527864,3
dyspnea,UK,0.03454946255976195,5
asymptomatic,UK,-0.09052936343279108,1
cough,France,0.052258949623424075,14
fever,France,0.060975320200259656,14
throatache,France,0.12121155820036718,13
sneezing,France,0.08263113647775441,11
fatigue,France,0.06295826498709434,6
soreness,France,-0.043860048472193824,2
anosmia,France,-0.07390990658791853,1
headache,France,0.037994163282752506,4
diarrhea,France,-0.04525762570091412,1
pneumonia,France,-0.07940009594713396,0
ageusia,France,-0.02989667128184917,1
chest pain,France,0.02390977883114343,2
dyspnea,France,-0.06400663655213434,0
asymptomatic,France,-0.061876638979181414,0
cough,Spain,-0.020742845211361438,9
fever,Spain,-0.08741518884052815,6
throatache,Spain,0.033128593821546024,8
sneezing,Spain,0.015211385893403213,7
fatigue,Spain,-0.07910259078614132,1
soreness,Spain,-0.10123012362532605,0
anosmia,Spain,-0.02413768787297775,2
headache,Spain,-0.056071652589281124,1
diarrhea,Spain,0.01042746457184689,2
pneumonia,Spain,-0.07230340190344499,0
ageusia,Spain,-0.06900228876322473,0
chest pain,Spain,0.03841147603797513,2
dyspnea,Spain,-0.000520408867259077,1
asymptomatic,Spain,0.0032197812812470375,1
cough,Czech,-0.05881602242469636,5
fever,Czech,-0.02331996553336961,6
throatache,Czech,-0.05642444893016093,3
sneezing,Czech,-0.11290908424754864,1
fatigue,Czech,-0.05491181966360493,1
soreness,Czech,0.0007704009350748206,2
anosmia,Czech,-0.0825106902471272,0
headache,Czech,-0.07910259078614118,0
diarrhea,Czech,0.14289160469844514,4
pneumonia,Czech,0.10743772611884805,3
ageusia,Czech,-0.05776479220798349,0
chest pain,Czech,0.006039035516276159,1
dyspnea,Czech,-0.048793551480003944,0
asymptomatic,Czech,0.1622641509433966,3
cough,Turkey,-0.033869674845427515,5
fever,Turkey,0.034417314924610705,7
throatache,Turkey,-0.039083486017346514,3
sneezing,Turkey,-0.06666397322721068,2
fatigue,Turkey,0.08183655842113094,4
soreness,Turkey,-0.07864554092424063,0
anosmia,Turkey,-0.07657285460171703,0
headache,Turkey,-0.025193970369473243,1
diarrhea,Turkey,0.05066771771500149,2
pneumonia,Turkey,-0.05617241142967982,0
ageusia,Turkey,-0.053607781265583784,0
chest pain,Turkey,-0.05094945186523044,0
dyspnea,Turkey,-0.04528215085571652,0
asymptomatic,Turkey,0.10573409496892194,2
cough,Egypt,-0.02007142809289221,5
fever,Egypt,-0.014287295522122163,5
throatache,Egypt,0.004973383964394527,4
sneezing,Egypt,0.01133638379081162,4
fatigue,Egypt,0.003967904080322448,2
soreness,Egypt,0.019717901262601634,2
anosmia,Egypt,-0.07345413647137779,0
headache,Egypt,-0.020313495420931398,1
diarrhea,Egypt,0.05753629140580228,2
pneumonia,Egypt,0.1330275525376004,3
ageusia,Egypt,-0.051424402309296346,0
chest pain,Egypt,0.01893880806511121,1
dyspnea,Egypt,-0.04343786457973748,0
asymptomatic,Egypt,0.11337934416506854,2
cough,Austria,-0.08464906630480609,3
fever,Austria,-0.0466523935416224,4
throatache,Austria,-0.09853516979456217,1
sneezing,Austria,-0.058571316252526345,2
fatigue,Austria,0.003967904080322215,2
soreness,Austria,-0.07544240483082336,0
anosmia,Austria,-0.07345413647137762,0
headache,Austria,-0.02031349542093134,1
diarrhea,Austria,0.05753629140580188,2
pneumonia,Austria,0.19533159613115902,4
ageusia,Austria,-0.05142440230929621,0
chest pain,Austria,0.08675195952405736,2
dyspnea,Austria,0.03189968180074471,1
asymptomatic,Austria,0.1910651910929857,3
cough,China,-0.03882916162055036,4
fever,China,0.06790884697433312,7
throatache,China,-0.09119521672733069,1
sneezing,China,-0.08636676424841447,1
fatigue,China,-0.0804131964607788,0
soreness,China,-0.022499735320555575,1
anosmia,China,-0.07021769313006113,0
headache,China,-0.015064023547906123,1
diarrhea,China,-0.056001221858170476,0
pneumonia,China,0.143409591950317,3
ageusia,China,-0.04915860527688601,0
chest pain,China,0.023997555151608816,1
dyspnea,China,0.037041260023057805,1
asymptomatic,China,-0.04014213584207578,0
cough,Philippines,0.062187329157911905,7
fever,Philippines,0.00040542595208568205,5
throatache,Philippines,0.05272898787077932,5
sneezing,Philippines,-0.04991539226524341,2
fatigue,Philippines,0.057378884610093286,3
soreness,Philippines,0.17597475108328686,5
anosmia,Philippines,-0.07021769313006093,0
headache,Philippines,-0.01506402354790613,1
diarrhea,Philippines,0.06509232930267841,2
pneumonia,Philippines,0.013462941285131313,1
ageusia,Philippines,-0.04915860527688596,0
chest pain,Philippines,0.023997555151608767,1
dyspnea,Philippines,-0.04152396028062581,0
asymptomatic,Philippines,-0.04014213584207574,0
