資料來源：各機場、港口入出境人數統計資料,,日期,入出境總人數_小計,桃園一期,,,桃園二期,,,桃園一_二期,高雄機場,,,基隆港,,,台中港,,,高雄港,,,花蓮港,,,蘇澳港,,,澎湖港,,,台南機場,,,安平港,,,松山機場,,,金門港_水頭,,,馬祖,,,花蓮機場,,,麥寮港,,,馬公機場,,,台中機場,,,和平港,,,金門機場,,,南竿機場,,,北竿機場,,,嘉義機場,,,台北港,,,東港,,,台東機場,,,北竿白沙港,,,布袋港,,,大園沙崙港,,,台東富岡港,,,馬公港,,,桃園竹圍港,,,金門港_料羅,,,後壁湖遊艇港,,,淡水第二漁港遊艇碼頭,,,屏東大鵬灣遊艇港,,,屏東機場,,
入境總人數,出境總人數,,,入境查驗,出境查驗,小計,入境查驗,出境查驗,小計,合計,入境查驗,出境查驗,小計,入境查驗,出境查驗,小計,入境查驗,出境查驗,小計,入境查驗,出境查驗,小計,入境查驗,出境查驗,小計,入境查驗,出境查驗,小計,入境查驗,出境查驗,小計,入境查驗,出境查驗,小計,入境查驗,出境查驗,小計,入境查驗,出境查驗,小計,入境查驗,出境查驗,小計,入境查驗,出境查驗,小計,入境查驗,出境查驗,小計,入境查驗,出境查驗,小計,入境查驗,出境查驗,小計,入境查驗,出境查驗,小計,入境查驗,出境查驗,小計,入境查驗,出境查驗,小計,入境查驗,出境查驗,小計,入境查驗,出境查驗,小計,入境查驗,出境查驗,小計,入境查驗,出境查驗,小計,入境查驗,出境查驗,小計,入境查驗,出境查驗,小計,入境查驗,出境查驗,小計,入境查驗,出境查驗,小計,入境查驗,出境查驗,小計,入境查驗,出境查驗,小計,入境查驗,出境查驗,小計,入境查驗,出境查驗,小計,入境查驗,出境查驗,小計,入境查驗,出境查驗,小計,入境查驗,出境查驗,小計,入境查驗,出境查驗,小計,入境查驗,出境查驗,小計
"74,280","81,440",20200101,"155,720","29,761","33,009","62,770","28,214","29,366","57,580","120,350","8,052","9,231","17,283",9,426,435,9,49,58,16,12,28,0,0,0,0,0,0,0,0,0,212,236,448,0,1,1,"3,839","4,111","7,950","1,934","2,321","4,255",52,46,98,0,0,0,11,10,21,0,0,0,"2,137","2,591","4,728",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,3,3,0,0,0,34,22,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"70,216","77,575",20200102,"147,791","27,406","30,404","57,810","27,162","30,276","57,438","115,248","6,821","7,815","14,636",4,4,8,85,82,167,"1,478",257,"1,735",0,0,0,0,0,0,0,0,0,144,159,303,4,0,4,"3,605","4,499","8,104","1,230","1,682","2,912",21,26,47,169,83,252,7,12,19,0,0,0,"2,049","2,228","4,277",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,8,27,0,17,17,0,0,0,12,23,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"67,140","76,508",20200103,"143,648","26,300","30,052","56,352","25,092","28,075","53,167","109,519","7,178","7,837","15,015","1,056","1,535","2,591",2,0,2,76,96,172,3,3,6,0,0,0,0,0,0,254,332,586,0,4,4,"3,566","4,218","7,784","1,488","1,606","3,094",28,47,75,0,0,0,4,5,9,0,0,0,"2,002","2,578","4,580",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,94,168,0,17,17,0,0,0,17,9,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"67,426","73,056",20200104,"140,482","26,164","29,113","55,277","25,261","26,706","51,967","107,244","7,082","7,889","14,971",0,0,0,3,4,7,31,52,83,0,0,0,0,10,10,0,0,0,117,73,190,0,0,0,"3,912","4,163","8,075","2,296","2,289","4,585",53,66,119,165,167,332,1,0,1,0,0,0,"2,254","2,439","4,693",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,64,125,0,4,4,0,0,0,26,17,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"73,388","82,128",20200105,"155,516","26,296","32,438","58,734","28,570","30,617","59,187","117,921","7,849","8,301","16,150","1,546",628,"2,174",68,85,153,22,117,139,0,0,0,0,0,0,0,0,0,214,198,412,5,0,5,"4,062","4,736","8,798","1,940","2,094","4,034",87,45,132,146,144,290,7,3,10,0,0,0,"2,547","2,693","5,240",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,7,0,0,0,0,0,0,26,25,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"64,143","70,905",20200106,"135,048","25,341","27,807","53,148","24,591","27,745","52,336","105,484","6,547","6,841","13,388",2,0,2,0,4,4,49,287,336,0,0,0,0,0,0,0,0,0,167,150,317,9,3,12,"3,562","4,309","7,871","1,850","1,492","3,342",39,31,70,0,0,0,2,1,3,0,0,0,"1,917","2,137","4,054",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,86,151,0,1,1,0,0,0,2,11,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"62,543","60,599",20200107,"123,142","22,456","23,318","45,774","24,322","21,845","46,167","91,941","7,058","5,935","12,993",625,"1,360","1,985",11,202,213,40,228,268,0,0,0,0,0,0,0,0,0,245,288,533,0,0,0,"3,881","3,953","7,834","1,467","1,338","2,805",58,35,93,125,137,262,2,3,5,0,0,0,"2,236","1,931","4,167",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,12,0,8,8,0,0,0,12,11,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"66,095","53,168",20200108,"119,263","24,518","21,982","46,500","25,330","19,305","44,635","91,135","7,442","5,167","12,609",4,0,4,7,14,21,58,120,178,0,0,0,0,0,0,0,0,0,98,135,233,0,0,0,"4,367","3,396","7,763","1,977","1,194","3,171",37,27,64,0,0,0,2,1,3,0,0,0,"2,228","1,781","4,009",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,18,18,0,0,0,25,28,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"78,991","51,556",20200109,"130,547","28,306","21,197","49,503","31,996","19,316","51,312","100,815","8,518","5,007","13,525",2,6,8,255,52,307,38,114,152,0,0,0,0,0,0,0,0,0,225,135,360,1,0,1,"4,765","2,988","7,753","2,271","1,133","3,404",63,29,92,104,73,177,4,11,15,0,0,0,"2,422","1,473","3,895",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,0,2,0,0,0,18,21,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"91,679","61,510",20200110,"153,189","31,943","24,369","56,312","35,530","23,001","58,531","114,843","10,623","6,499","17,122","1,365",380,"1,745",19,22,41,64,78,142,0,0,0,0,0,0,0,0,0,403,222,625,0,0,0,"5,309","3,501","8,810","3,143",920,"4,063",103,39,142,0,0,0,8,11,19,0,0,0,"2,876","1,882","4,758",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,257,577,834,0,0,0,0,0,0,36,9,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"68,865","79,201",20200111,"148,066","25,619","29,794","55,413","25,957","29,485","55,442","110,855","7,009","8,415","15,424",401,853,"1,254",5,7,12,14,15,29,0,0,0,0,0,0,0,0,0,112,135,247,0,0,0,"4,081","4,458","8,539","2,897","2,731","5,628",35,115,150,167,124,291,1,15,16,0,0,0,"2,494","2,408","4,902",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,596,652,0,3,3,0,0,0,17,47,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"58,395","95,803",20200112,"154,198","20,906","35,563","56,469","23,354","36,155","59,509","115,978","5,856","10,355","16,211",840,689,"1,529",8,3,11,9,102,111,0,0,0,0,0,0,0,0,0,184,275,459,0,0,0,"3,590","5,424","9,014","1,511","3,965","5,476",13,117,130,165,97,262,11,2,13,0,0,0,"1,915","2,977","4,892",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,14,0,2,2,0,0,0,25,71,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"52,437","87,293",20200113,"139,730","18,997","32,770","51,767","21,407","35,423","56,830","108,597","5,303","8,985","14,288",1,3,4,3,1,4,32,55,87,0,0,0,0,0,0,0,0,0,92,235,327,0,0,0,"3,353","4,708","8,061","1,566","2,500","4,066",49,95,144,0,0,0,10,4,14,0,0,0,"1,591","2,488","4,079",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,32,25,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55,641","83,565",20200114,"139,206","19,396","31,776","51,172","22,127","32,254","54,381","105,553","5,571","8,481","14,052",701,699,"1,400",119,353,472,32,27,59,0,0,0,0,6,6,0,0,0,251,355,606,5,8,13,"3,797","4,790","8,587","1,558","2,136","3,694",46,70,116,105,154,259,0,4,4,0,0,0,"1,921","2,427","4,348",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,25,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"64,887","82,792",20200115,"147,679","22,141","31,702","53,843","24,355","30,363","54,718","108,561","6,935","8,911","15,846","2,898","2,870","5,768",9,14,23,59,40,99,0,0,0,0,0,0,0,0,0,99,148,247,0,0,0,"4,074","4,601","8,675","1,865","1,764","3,629",51,42,93,0,0,0,3,12,15,0,0,0,"2,346","2,301","4,647",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,1,0,1,0,0,0,49,22,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"69,449","79,551",20200116,"149,000","24,119","31,037","55,156","28,048","30,890","58,938","114,094","7,349","8,416","15,765",1,2,3,119,265,384,59,26,85,0,0,0,0,0,0,0,0,0,174,234,408,0,0,0,"4,438","4,257","8,695","2,578","1,789","4,367",79,65,144,91,146,237,22,3,25,0,0,0,"2,350","2,357","4,707",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,28,28,0,0,0,20,36,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"79,091","86,520",20200117,"165,611","27,689","33,117","60,806","31,076","32,749","63,825","124,631","8,968","9,204","18,172",748,"1,173","1,921",9,6,15,57,58,115,1,1,2,2,1,3,0,0,0,320,404,724,0,0,0,"4,975","4,415","9,390","2,462","2,149","4,611",30,65,95,0,0,0,0,5,5,0,0,0,"2,610","2,372","4,982",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,758,886,0,15,15,0,0,0,16,28,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"80,578","86,665",20200118,"167,243","28,447","33,754","62,201","32,006","32,875","64,881","127,082","8,707","9,220","17,927",2,2,4,0,0,0,42,47,89,6,0,6,1,11,12,0,0,0,267,223,490,0,0,0,"4,514","4,009","8,523","3,516","3,133","6,649",42,99,141,160,163,323,7,0,7,0,0,0,"2,790","2,760","5,550",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,280,326,2,0,2,0,0,0,23,89,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"80,254","86,096",20200119,"166,350","25,764","33,648","59,412","32,973","31,514","64,487","123,899","9,397","9,064","18,461","1,295","1,531","2,826",142,401,543,50,27,77,0,0,0,0,0,0,0,0,0,225,242,467,3,0,3,"4,521","4,090","8,611","2,988","2,656","5,644",43,97,140,126,178,304,0,9,9,0,0,0,"2,692","2,579","5,271",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,34,59,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"77,561","78,927",20200120,"156,488","26,500","31,753","58,253","31,488","29,778","61,266","119,519","8,834","8,052","16,886",786,0,786,18,16,34,90,51,141,0,0,0,0,0,0,4,0,4,203,204,407,1,0,1,"3,928","3,749","7,677","3,063","2,289","5,352",56,108,164,0,0,0,10,1,11,0,0,0,"2,428","2,117","4,545",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,707,835,0,31,31,0,0,0,24,71,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
