id,iso_code,洲名,國家,日期,總確診數,新增確診數,七天移動平均新增確診數,總確診數/每百萬人,新增確診數/每百萬人,七天移動平均新增確診數/每百萬人,總人口數,新聞稿發佈新增確診數
417,TWN,亞洲,台灣,2022-01-01,17050,21,22.714,713.586,0.879,0.951,23893396,21
416,TWN,亞洲,台灣,2022-01-02,17070,20,22.143,714.423,0.837,0.927,23893396,20
415,TWN,亞洲,台灣,2022-01-03,17095,25,23.429,715.470,1.046,0.981,23893396,25
414,TWN,亞洲,台灣,2022-01-04,17129,34,25.571,716.893,1.423,1.070,23893396,34
413,TWN,亞洲,台灣,2022-01-05,17155,26,27.286,717.981,1.088,1.142,23893396,26
412,TWN,亞洲,台灣,2022-01-06,17198,43,33.429,719.780,1.800,1.399,23893396,43
411,TWN,亞洲,台灣,2022-01-07,17258,60,32.714,722.292,2.511,1.369,23893396,62
410,TWN,亞洲,台灣,2022-01-08,17302,44,36.000,724.133,1.842,1.507,23893396,44
409,TWN,亞洲,台灣,2022-01-09,17362,60,41.714,726.644,2.511,1.746,23893396,60
408,TWN,亞洲,台灣,2022-01-10,17393,31,42.571,727.942,1.297,1.782,23893396,32
407,TWN,亞洲,台灣,2022-01-11,17463,70,47.714,730.871,2.930,1.997,23893396,70
406,TWN,亞洲,台灣,2022-01-12,17559,96,57.714,734.889,4.018,2.415,23893396,96
405,TWN,亞洲,台灣,2022-01-13,17624,65,60.857,737.610,2.720,2.547,23893396,65
404,TWN,亞洲,台灣,2022-01-14,17692,68,62.000,740.456,2.846,2.595,23893396,68
403,TWN,亞洲,台灣,2022-01-15,17769,77,66.714,743.678,3.223,2.792,23893396,78
402,TWN,亞洲,台灣,2022-01-16,17820,51,65.429,745.813,2.134,2.738,23893396,51
401,TWN,亞洲,台灣,2022-01-17,17885,65,70.286,748.533,2.720,2.942,23893396,65
400,TWN,亞洲,台灣,2022-01-18,17951,66,69.714,751.295,2.762,2.918,23893396,66
399,TWN,亞洲,台灣,2022-01-19,18005,54,63.714,753.556,2.260,2.667,23893396,54
398,TWN,亞洲,台灣,2022-01-20,18041,36,59.571,755.062,1.507,2.493,23893396,37
397,TWN,亞洲,台灣,2022-01-21,18109,68,59.571,757.908,2.846,2.493,23893396,68
396,TWN,亞洲,台灣,2022-01-22,18239,130,67.143,763.349,5.441,2.810,23893396,130
395,TWN,亞洲,台灣,2022-01-23,18325,86,72.143,766.948,3.599,3.019,23893396,89
394,TWN,亞洲,台灣,2022-01-24,18376,51,70.143,769.083,2.134,2.936,23893396,51
393,TWN,亞洲,台灣,2022-01-25,18411,35,65.714,770.548,1.465,2.750,23893396,38
392,TWN,亞洲,台灣,2022-01-26,18503,92,71.143,774.398,3.850,2.978,23893396,92
391,TWN,亞洲,台灣,2022-01-27,18566,63,75.000,777.035,2.637,3.139,23893396,64
390,TWN,亞洲,台灣,2022-01-28,18634,68,75.000,779.881,2.846,3.139,23893396,71
389,TWN,亞洲,台灣,2022-01-29,18681,47,63.143,781.848,1.967,2.643,23893396,48
388,TWN,亞洲,台灣,2022-01-30,18735,54,58.571,784.108,2.260,2.451,23893396,54
387,TWN,亞洲,台灣,2022-01-31,18790,55,59.143,786.410,2.302,2.475,23893396,55
386,TWN,亞洲,台灣,2022-02-01,18850,60,62.714,788.921,2.511,2.625,23893396,60
385,TWN,亞洲,台灣,2022-02-02,18903,53,57.143,791.139,2.218,2.392,23893396,53
384,TWN,亞洲,台灣,2022-02-03,18958,55,56.000,793.441,2.302,2.344,23893396,56
383,TWN,亞洲,台灣,2022-02-04,19029,71,56.429,796.413,2.972,2.362,23893396,71
382,TWN,亞洲,台灣,2022-02-05,19101,72,60.000,799.426,3.013,2.511,23893396,72
381,TWN,亞洲,台灣,2022-02-06,19144,43,58.429,801.226,1.800,2.445,23893396,43
380,TWN,亞洲,台灣,2022-02-07,19192,48,57.429,803.235,2.009,2.404,23893396,49
379,TWN,亞洲,台灣,2022-02-08,19239,47,55.571,805.202,1.967,2.326,23893396,48
378,TWN,亞洲,台灣,2022-02-09,19293,54,55.714,807.462,2.260,2.332,23893396,54
377,TWN,亞洲,台灣,2022-02-10,19376,83,59.714,810.935,3.474,2.499,23893396,83
376,TWN,亞洲,台灣,2022-02-11,19455,79,60.857,814.242,3.306,2.547,23893396,79
375,TWN,亞洲,台灣,2022-02-12,19515,60,59.143,816.753,2.511,2.475,23893396,60
374,TWN,亞洲,台灣,2022-02-13,19567,52,60.429,818.929,2.176,2.529,23893396,52
373,TWN,亞洲,台灣,2022-02-14,19621,54,61.286,821.189,2.260,2.565,23893396,54
372,TWN,亞洲,台灣,2022-02-15,19666,45,61.000,823.073,1.883,2.553,23893396,45
371,TWN,亞洲,台灣,2022-02-16,19732,66,62.714,825.835,2.762,2.625,23893396,67
370,TWN,亞洲,台灣,2022-02-17,19797,65,60.143,828.555,2.720,2.517,23893396,68
369,TWN,亞洲,台灣,2022-02-18,19864,67,58.429,831.359,2.804,2.445,23893396,67
368,TWN,亞洲,台灣,2022-02-19,19937,73,60.286,834.415,3.055,2.523,23893396,73
367,TWN,亞洲,台灣,2022-02-20,19937,0,52.857,834.415,0.000,2.212,23893396,73
366,TWN,亞洲,台灣,2022-02-21,20056,119,62.143,839.395,4.980,2.601,23893396,49
365,TWN,亞洲,台灣,2022-02-22,20100,44,62.000,841.237,1.842,2.595,23893396,44
364,TWN,亞洲,台灣,2022-02-23,20156,56,60.571,843.580,2.344,2.535,23893396,56
363,TWN,亞洲,台灣,2022-02-24,20236,80,62.714,846.929,3.348,2.625,23893396,80
362,TWN,亞洲,台灣,2022-02-25,20304,68,62.857,849.775,2.846,2.631,23893396,68
361,TWN,亞洲,台灣,2022-02-26,20373,69,62.286,852.662,2.888,2.607,23893396,69
360,TWN,亞洲,台灣,2022-02-27,20433,60,70.857,855.174,2.511,2.966,23893396,60
359,TWN,亞洲,台灣,2022-02-28,20489,56,61.857,857.517,2.344,2.589,23893396,56
358,TWN,亞洲,台灣,2022-03-01,20533,44,61.857,859.359,1.842,2.589,23893396,44
357,TWN,亞洲,台灣,2022-03-02,20582,49,60.857,861.410,2.051,2.547,23893396,49
356,TWN,亞洲,台灣,2022-03-03,20653,71,59.571,864.381,2.972,2.493,23893396,71
355,TWN,亞洲,台灣,2022-03-04,20717,64,59.000,867.060,2.679,2.469,23893396,64
354,TWN,亞洲,台灣,2022-03-05,20797,80,60.571,870.408,3.348,2.535,23893396,80
353,TWN,亞洲,台灣,2022-03-06,20840,43,58.143,872.208,1.800,2.433,23893396,43
352,TWN,亞洲,台灣,2022-03-07,20869,29,54.286,873.421,1.214,2.272,23893396,29
351,TWN,亞洲,台灣,2022-03-08,20922,53,55.571,875.639,2.218,2.326,23893396,53
350,TWN,亞洲,台灣,2022-03-09,20999,77,59.571,878.862,3.223,2.493,23893396,77
