日期,週次,新增確診,每週新增確診,確診總人數,不明性別,不明總數,新增男性,男性總數,確診男性率,新增女性,女性總數,確診女性率,新增軍人,敦睦總人數,軍隊率,新增境外,境外總人數,境外率,新增本土,本土總人數,本土率,新增不明,不明總人數,不明率,新增死亡,死亡總人數,死亡率,當日未知感染源數,未知感染源總數,已知感染源數,新增解除隔離,解除隔離數,解除隔離+死亡,未解除隔離數,備註,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,境外總人數,7893
01月21日 星期二,4,+1,,1,+0,0,+0,0,0.00%,+1,1,100.00%,+0,0,0.00%,+1,1,100.00%,+0,0,0.00%,+0,0,0.00%,+0,0,0.00%,+0,0,1,,0,0,1,,,本土總人數,20695
01月22日 星期三,4,+0,,1,+0,0,+0,0,0.00%,+0,1,100.00%,+0,0,0.00%,+0,1,100.00%,+0,0,0.00%,+0,0,0.00%,+0,0,0.00%,+0,0,1,+0,0,0,1,,,敦睦總人數,36
01月23日 星期四,4,+0,,1,+0,0,+0,0,0.00%,+0,1,100.00%,+0,0,0.00%,+0,1,100.00%,+0,0,0.00%,+0,0,0.00%,+0,0,0.00%,+0,0,1,+0,0,0,1,,,總人數,99832
01月24日 星期五,4,+2,,3,+0,0,+1,1,33.33%,+1,2,66.67%,+0,0,0.00%,+2,3,100.00%,+0,0,0.00%,+0,0,0.00%,+0,0,0.00%,+0,0,3,+0,0,0,3,,,解隔離,14875
01月25日 星期六,4,+0,+3,3,+0,0,+0,1,33.33%,+0,2,66.67%,+0,0,0.00%,+0,3,100.00%,+0,0,0.00%,+0,0,0.00%,+0,0,0.00%,+0,0,3,+0,0,0,3,,,死亡,14683
01月26日 星期日,5,+1,,4,+0,0,+0,1,25.00%,+1,3,75.00%,+0,0,0.00%,+1,4,100.00%,+0,0,0.00%,+0,0,0.00%,+0,0,0.00%,+0,0,4,+0,0,0,4,,,未解隔離,8440827
01月27日 星期一,5,+1,,5,+0,0,+0,1,20.00%,+1,4,80.00%,+0,0,0.00%,+1,5,100.00%,+0,0,0.00%,+0,0,0.00%,+0,0,0.00%,+0,0,5,+0,0.00%,0,5,,,治癒率,17.47%
01月28日 星期二,5,+3,,8,+0,0,+1,2,25.00%,+2,6,75.00%,+0,0,0.00%,+2,7,87.50%,+1,1,12.50%,+0,0,0.00%,+0,0,0.00%,+0,0,8,+0,0,0,8,,,,
01月29日 星期三,5,+0,,8,+0,0,+0,2,25.00%,+0,6,75.00%,+0,0,0.00%,+0,7,87.50%,+0,1,12.50%,+0,0,0.00%,+0,0,0.00%,+0,0,8,+0,0,0,8,,,"""+0"" 次數",174
01月30日 星期四,5,+1,,9,+0,0,+0,2,22.22%,+1,7,77.78%,+0,0,0.00%,+0,7,77.78%,+1,2,22.22%,+0,0,0.00%,+0,0,0.00%,+0,0,9,+0,0,0,9,,,總天數,1056
01月31日 星期五,5,+1,,10,+0,0,+1,3,30.00%,+0,7,70.00%,+0,0,0.00%,+1,8,80.00%,+0,2,20.00%,+0,0,0.00%,+0,0,0.00%,+0,0,10,+0,0.00%,0,10,,,"""+0""率",16.48%
02月01日 星期六,5,+0,+7,10,+0,0,+0,3,30.00%,+0,7,70.00%,+0,0,0.00%,+0,8,80.00%,+0,2,20.00%,+0,0,0.00%,+0,0,0.00%,+0,0,10,+0,0,0,10,,,,
02月02日 星期日,6,+0,,10,+0,0,+0,3,30.00%,+0,7,70.00%,+0,0,0.00%,+0,8,80.00%,+0,2,20.00%,+0,0,0.00%,+0,0,0.00%,+0,0,10,+0,0,0,10,,,,
02月03日 星期一,6,+0,,10,+0,0,+0,3,30.00%,+0,7,70.00%,+0,0,0.00%,+0,8,80.00%,+0,2,20.00%,+0,0,0.00%,+0,0,0.00%,+0,0,10,+0,0,0,10,,,臺灣籍,5299
02月04日 星期二,6,+1,,11,+0,0,+1,4,36.36%,+0,7,63.64%,+0,0,0.00%,+1,9,81.82%,+0,2,18.18%,+0,0,0.00%,+0,0,0.00%,+0,0,11,+0,0,0,11,,,外國籍,3675
02月05日 星期三,6,+0,,11,+0,0,+0,4,36.36%,+0,7,63.64%,+0,0,0.00%,+0,9,81.82%,+0,2,18.18%,+0,0,0.00%,+0,0,0.00%,+0,0,11,+0,0,0,11,,,不明國籍,90858
02月06日 星期四,6,+5,,16,+0,0,+2,6,37.50%,+3,10,62.50%,+0,0,0.00%,+5,14,87.50%,+0,2,12.50%,+0,0,0.00%,+0,0,0.00%,+0,0,16,+1,1,1,15,,,驗證以下人數,3169
02月07日 星期五,6,+0,,16,+0,0,+0,6,37.50%,+0,10,62.50%,+0,0,0.00%,+0,14,87.50%,+0,2,12.50%,+0,0,0.00%,+0,0,0.00%,+0,0,16,+0,1,1,15,,,賽普勒斯籍,1
02月08日 星期六,6,+1,+7,17,+0,0,+1,7,41.18%,+0,10,58.82%,+0,0,0.00%,+1,15,88.24%,+0,2,11.76%,+0,0,0.00%,+0,0,0.00%,+0,0,17,+0,1,1,16,,,瑞典籍,6
02月09日 星期日,7,+1,,18,+0,0,+1,8,44.44%,+0,10,55.56%,+0,0,0.00%,+1,16,88.89%,+0,2,11.11%,+0,0,0.00%,+0,0,0.00%,+0,0,18,+0,1,1,17,,,奧地利籍,5
02月10日 星期一,7,+0,,18,+0,0,+0,8,44.44%,+0,10,55.56%,+0,0,0.00%,+0,16,88.89%,+0,2,11.11%,+0,0,0.00%,+0,0,0.00%,+0,0,18,+0,1,1,17,,,越南籍,704
02月11日 星期二,7,+0,,18,+0,0,+0,8,44.44%,+0,10,55.56%,+0,0,0.00%,+0,16,88.89%,+0,2,11.11%,+0,0,0.00%,+0,0,0.00%,+0,0,18,+0,1,1,17,,,喀麥隆籍,1
02月12日 星期三,7,+0,,18,+0,0,+0,8,44.44%,+0,10,55.56%,+0,0,0.00%,+0,16,88.89%,+0,2,11.11%,+0,0,0.00%,+0,0,0.00%,+0,0,18,+0,1,1,17,,,馬紹爾籍,1
02月13日 星期四,7,+0,,18,+0,0,+0,8,44.44%,+0,10,55.56%,+0,0,0.00%,+0,16,88.89%,+0,2,11.11%,+0,0,0.00%,+0,0,0.00%,+0,0,18,+0,1,1,17,,,紐西蘭籍,2
02月14日 星期五,7,+0,,18,+0,0,+0,8,44.44%,+0,10,55.56%,+0,0,0.00%,+0,16,88.89%,+0,2,11.11%,+0,0,0.00%,+0,0,0.00%,+0,0,18,+0,1,1,17,,,阿富汗籍,2
02月15日 星期六,7,+0,+1,18,+0,0,+0,8,44.44%,+0,10,55.56%,+0,0,0.00%,+0,16,88.89%,+0,2,11.11%,+0,0,0.00%,+1,1,5.56%,+0,0,18,+1,2,3,15,,,克羅埃西亞籍,4
02月16日 星期日,8,+2,,20,+0,0,+2,10,50.00%,+0,10,50.00%,+0,0,0.00%,+0,16,80.00%,+2,4,20.00%,+0,0,0.00%,+0,1,5.00%,+0,0,20,+0,2,3,17,#19未知感染源,,白俄羅斯籍,2
02月17日 星期一,8,+2,,22,+0,0,+1,11,50.00%,+1,11,50.00%,+0,0,0.00%,+0,16,72.73%,+2,6,27.27%,+0,0,0.00%,+0,1,4.55%,+0,0,22,+0,2,3,19,,,瓜地馬拉籍,6
02月18日 星期二,8,+0,,22,+0,0,+0,11,50.00%,+0,11,50.00%,+0,0,0.00%,+0,16,72.73%,+0,6,27.27%,+0,0,0.00%,+0,1,4.55%,+0,0,22,+0,2,3,19,,,史瓦帝尼籍,4
02月19日 星期三,8,+2,,24,+0,0,+0,11,45.83%,+2,13,54.17%,+0,0,0.00%,+0,16,66.67%,+2,8,33.33%,+0,0,0.00%,+0,1,4.17%,+1,1,23,+0,2,3,21,#24未知感染源,,丹麥籍,21
02月20日 星期四,8,+0,,24,+0,0,+0,11,45.83%,+0,13,54.17%,+0,0,0.00%,+0,16,66.67%,+0,8,33.33%,+0,0,0.00%,+0,1,4.17%,+0,1,23,+0,2,3,21,,,土耳其籍,5
