id,國家,統計日期,疫苗廠牌,第一劑累計接種人次,第二劑累計接種人次,追加劑累計接種人次,加強劑累計接種人次,第2次追加劑,第2次加強劑,總共累計接種人次
2276,Taiwan,2021-03-22,ALL,1578,0,0,0,0,0,1578
2275,Taiwan,2021-03-22,Oxford/AstraZeneca,1578,0,0,0,0,0,1578
2274,Taiwan,2021-03-23,ALL,3218,0,0,0,0,0,3218
2273,Taiwan,2021-03-23,Oxford/AstraZeneca,3218,0,0,0,0,0,3218
2272,Taiwan,2021-03-24,ALL,5169,0,0,0,0,0,5169
2271,Taiwan,2021-03-24,Oxford/AstraZeneca,5169,0,0,0,0,0,5169
2270,Taiwan,2021-03-25,ALL,7053,0,0,0,0,0,7053
2269,Taiwan,2021-03-25,Oxford/AstraZeneca,7053,0,0,0,0,0,7053
2268,Taiwan,2021-03-26,ALL,9232,0,0,0,0,0,9232
2267,Taiwan,2021-03-26,Oxford/AstraZeneca,9232,0,0,0,0,0,9232
2266,Taiwan,2021-03-27,ALL,9377,0,0,0,0,0,9377
2265,Taiwan,2021-03-27,Oxford/AstraZeneca,9377,0,0,0,0,0,9377
2264,Taiwan,2021-03-28,ALL,9412,0,0,0,0,0,9412
2263,Taiwan,2021-03-28,Oxford/AstraZeneca,9412,0,0,0,0,0,9412
2262,Taiwan,2021-03-29,ALL,10891,0,0,0,0,0,10891
2261,Taiwan,2021-03-29,Oxford/AstraZeneca,10891,0,0,0,0,0,10891
2260,Taiwan,2021-03-30,ALL,12648,0,0,0,0,0,12648
2259,Taiwan,2021-03-30,Oxford/AstraZeneca,12648,0,0,0,0,0,12648
2258,Taiwan,2021-03-31,ALL,14400,0,0,0,0,0,14400
2257,Taiwan,2021-03-31,Oxford/AstraZeneca,14400,0,0,0,0,0,14400
2256,Taiwan,2021-04-01,ALL,16450,0,0,0,0,0,16450
2255,Taiwan,2021-04-01,Oxford/AstraZeneca,16450,0,0,0,0,0,16450
2254,Taiwan,2021-04-02,ALL,17056,0,0,0,0,0,17056
2253,Taiwan,2021-04-02,Oxford/AstraZeneca,17056,0,0,0,0,0,17056
2252,Taiwan,2021-04-03,ALL,17078,0,0,0,0,0,17078
2251,Taiwan,2021-04-03,Oxford/AstraZeneca,17078,0,0,0,0,0,17078
2250,Taiwan,2021-04-04,ALL,17078,0,0,0,0,0,17078
2249,Taiwan,2021-04-04,Oxford/AstraZeneca,17078,0,0,0,0,0,17078
2248,Taiwan,2021-04-05,ALL,17245,0,0,0,0,0,17245
2247,Taiwan,2021-04-05,Oxford/AstraZeneca,17245,0,0,0,0,0,17245
2246,Taiwan,2021-04-06,ALL,18657,0,0,0,0,0,18657
2245,Taiwan,2021-04-06,Oxford/AstraZeneca,18657,0,0,0,0,0,18657
2244,Taiwan,2021-04-07,ALL,20075,0,0,0,0,0,20075
2243,Taiwan,2021-04-07,Oxford/AstraZeneca,20075,0,0,0,0,0,20075
2242,Taiwan,2021-04-08,ALL,21873,0,0,0,0,0,21873
2241,Taiwan,2021-04-08,Oxford/AstraZeneca,21873,0,0,0,0,0,21873
2240,Taiwan,2021-04-09,ALL,24450,0,0,0,0,0,24450
2239,Taiwan,2021-04-09,Oxford/AstraZeneca,24450,0,0,0,0,0,24450
2238,Taiwan,2021-04-10,ALL,24658,0,0,0,0,0,24658
2237,Taiwan,2021-04-10,Oxford/AstraZeneca,24658,0,0,0,0,0,24658
2236,Taiwan,2021-04-11,ALL,24701,0,0,0,0,0,24701
2235,Taiwan,2021-04-11,Oxford/AstraZeneca,24701,0,0,0,0,0,24701
2234,Taiwan,2021-04-12,ALL,25882,0,0,0,0,0,25882
2233,Taiwan,2021-04-12,Oxford/AstraZeneca,25882,0,0,0,0,0,25882
2232,Taiwan,2021-04-13,ALL,27113,0,0,0,0,0,27113
2231,Taiwan,2021-04-13,Oxford/AstraZeneca,27113,0,0,0,0,0,27113
2230,Taiwan,2021-04-14,ALL,28497,0,0,0,0,0,28497
2229,Taiwan,2021-04-14,Oxford/AstraZeneca,28497,0,0,0,0,0,28497
2228,Taiwan,2021-04-15,ALL,30039,0,0,0,0,0,30039
2227,Taiwan,2021-04-15,Oxford/AstraZeneca,30039,0,0,0,0,0,30039
2226,Taiwan,2021-04-16,ALL,32389,0,0,0,0,0,32389
2225,Taiwan,2021-04-16,Oxford/AstraZeneca,32389,0,0,0,0,0,32389
2224,Taiwan,2021-04-17,ALL,32450,0,0,0,0,0,32450
2223,Taiwan,2021-04-17,Oxford/AstraZeneca,32450,0,0,0,0,0,32450
2222,Taiwan,2021-04-20,ALL,34197,0,0,0,0,0,34197
2221,Taiwan,2021-04-20,Oxford/AstraZeneca,34197,0,0,0,0,0,34197
2220,Taiwan,2021-04-21,ALL,36731,0,0,0,0,0,36731
2219,Taiwan,2021-04-21,Oxford/AstraZeneca,36731,0,0,0,0,0,36731
2218,Taiwan,2021-04-22,ALL,39221,0,0,0,0,0,39221
2217,Taiwan,2021-04-22,Oxford/AstraZeneca,39221,0,0,0,0,0,39221
2216,Taiwan,2021-04-23,ALL,42523,0,0,0,0,0,42523
2215,Taiwan,2021-04-23,Oxford/AstraZeneca,42523,0,0,0,0,0,42523
2214,Taiwan,2021-04-24,ALL,42672,0,0,0,0,0,42672
2213,Taiwan,2021-04-24,Oxford/AstraZeneca,42672,0,0,0,0,0,42672
2212,Taiwan,2021-04-26,ALL,45387,0,0,0,0,0,45387
2211,Taiwan,2021-04-26,Oxford/AstraZeneca,45387,0,0,0,0,0,45387
2210,Taiwan,2021-04-27,ALL,48180,0,0,0,0,0,48180
2209,Taiwan,2021-04-27,Oxford/AstraZeneca,48180,0,0,0,0,0,48180
2208,Taiwan,2021-04-28,ALL,50833,0,0,0,0,0,50833
2207,Taiwan,2021-04-28,Oxford/AstraZeneca,50833,0,0,0,0,0,50833
2206,Taiwan,2021-04-29,ALL,54189,0,0,0,0,0,54189
2205,Taiwan,2021-04-29,Oxford/AstraZeneca,54189,0,0,0,0,0,54189
2204,Taiwan,2021-04-30,ALL,57884,0,0,0,0,0,57884
2203,Taiwan,2021-04-30,Oxford/AstraZeneca,57884,0,0,0,0,0,57884
2202,Taiwan,2021-05-02,ALL,58252,0,0,0,0,0,58252
2201,Taiwan,2021-05-02,Oxford/AstraZeneca,58252,0,0,0,0,0,58252
2200,Taiwan,2021-05-03,ALL,62437,0,0,0,0,0,62437
2199,Taiwan,2021-05-03,Oxford/AstraZeneca,62437,0,0,0,0,0,62437
2198,Taiwan,2021-05-04,ALL,67931,0,0,0,0,0,67931
2197,Taiwan,2021-05-04,Oxford/AstraZeneca,67931,0,0,0,0,0,67931
2196,Taiwan,2021-05-05,ALL,73988,0,0,0,0,0,73988
2195,Taiwan,2021-05-05,Oxford/AstraZeneca,73988,0,0,0,0,0,73988
2194,Taiwan,2021-05-06,ALL,80861,0,0,0,0,0,80861
2193,Taiwan,2021-05-06,Oxford/AstraZeneca,80861,0,0,0,0,0,80861
2192,Taiwan,2021-05-07,ALL,91002,0,0,0,0,0,91002
2191,Taiwan,2021-05-07,Oxford/AstraZeneca,91002,0,0,0,0,0,91002
2190,Taiwan,2021-05-09,ALL,92049,0,0,0,0,0,92049
2189,Taiwan,2021-05-09,Oxford/AstraZeneca,92049,0,0,0,0,0,92049
2188,Taiwan,2021-05-11,ALL,112543,0,0,0,0,0,112543
2187,Taiwan,2021-05-11,Oxford/AstraZeneca,112543,0,0,0,0,0,112543
2186,Taiwan,2021-05-12,ALL,129669,0,0,0,0,0,129669
2185,Taiwan,2021-05-12,Oxford/AstraZeneca,129669,0,0,0,0,0,129669
2184,Taiwan,2021-05-13,ALL,151997,0,0,0,0,0,151997
2183,Taiwan,2021-05-13,Oxford/AstraZeneca,151997,0,0,0,0,0,151997
2182,Taiwan,2021-05-14,ALL,186149,0,0,0,0,0,186149
2181,Taiwan,2021-05-14,Oxford/AstraZeneca,186149,0,0,0,0,0,186149
2180,Taiwan,2021-05-16,ALL,194678,0,0,0,0,0,194678
2179,Taiwan,2021-05-16,Oxford/AstraZeneca,194678,0,0,0,0,0,194678
2178,Taiwan,2021-05-17,ALL,220352,0,0,0,0,0,220352
2177,Taiwan,2021-05-17,Oxford/AstraZeneca,220352,0,0,0,0,0,220352
2176,Taiwan,2021-05-18,ALL,245008,0,0,0,0,0,245008
2175,Taiwan,2021-05-18,Oxford/AstraZeneca,245008,0,0,0,0,0,245008
2174,Taiwan,2021-05-19,ALL,264589,0,0,0,0,0,264589
2173,Taiwan,2021-05-19,Oxford/AstraZeneca,264589,0,0,0,0,0,264589
2172,Taiwan,2021-05-20,ALL,281647,0,0,0,0,0,281647
2171,Taiwan,2021-05-20,Oxford/AstraZeneca,281647,0,0,0,0,0,281647
2170,Taiwan,2021-05-21,ALL,299844,0,0,0,0,0,299844
2169,Taiwan,2021-05-21,Oxford/AstraZeneca,299844,0,0,0,0,0,299844
2168,Taiwan,2021-05-23,ALL,302698,0,0,0,0,0,302698
2167,Taiwan,2021-05-23,Oxford/AstraZeneca,302698,0,0,0,0,0,302698
2166,Taiwan,2021-05-24,ALL,311678,0,0,0,0,0,311678
2165,Taiwan,2021-05-24,Oxford/AstraZeneca,311678,0,0,0,0,0,311678
2164,Taiwan,2021-05-25,ALL,319665,0,0,0,0,0,319665
2163,Taiwan,2021-05-25,Oxford/AstraZeneca,319665,0,0,0,0,0,319665
2162,Taiwan,2021-06-02,ALL,562029,0,0,0,0,0,562029
2161,Taiwan,2021-06-02,Oxford/AstraZeneca,562029,0,0,0,0,0,562029
2160,Taiwan,2021-06-03,ALL,624132,0,0,0,0,0,624132
2159,Taiwan,2021-06-03,Oxford/AstraZeneca,624132,0,0,0,0,0,624132
2158,Taiwan,2021-06-04,ALL,678418,0,0,0,0,0,678418
2157,Taiwan,2021-06-04,Oxford/AstraZeneca,678418,0,0,0,0,0,678418
2156,Taiwan,2021-06-06,ALL,699187,0,0,0,0,0,699187
2155,Taiwan,2021-06-06,Oxford/AstraZeneca,699187,0,0,0,0,0,699187
2154,Taiwan,2021-06-07,ALL,724819,0,0,0,0,0,724819
2153,Taiwan,2021-06-07,Oxford/AstraZeneca,724819,0,0,0,0,0,724819
2152,Taiwan,2021-06-08,ALL,743578,0,0,0,0,0,743578
2151,Taiwan,2021-06-08,Oxford/AstraZeneca,743578,0,0,0,0,0,743578
2150,Taiwan,2021-06-09,ALL,759746,0,0,0,0,0,759746
2149,Taiwan,2021-06-09,Oxford/AstraZeneca,759746,0,0,0,0,0,759746
2148,Taiwan,2021-06-10,ALL,782300,0,0,0,0,0,782300
2147,Taiwan,2021-06-10,Moderna,15140,0,0,0,0,0,15140
2146,Taiwan,2021-06-10,Oxford/AstraZeneca,767160,0,0,0,0,0,767160
2145,Taiwan,2021-06-11,ALL,799129,0,0,0,0,0,799129
2144,Taiwan,2021-06-11,Moderna,24869,0,0,0,0,0,24869
2143,Taiwan,2021-06-11,Oxford/AstraZeneca,774260,0,0,0,0,0,774260
