id,國家,統計日期,疫苗廠牌,第一劑累計接種人次,第二劑累計接種人次,追加劑累計接種人次,加強劑累計接種人次,第2次追加劑,第2次加強劑,總共累計接種人次
1460,Taiwan,2021-03-22,ALL,1578,0,0,0,0,0,1578
1459,Taiwan,2021-03-22,Oxford/AstraZeneca,1578,0,0,0,0,0,1578
1458,Taiwan,2021-03-23,ALL,3218,0,0,0,0,0,3218
1457,Taiwan,2021-03-23,Oxford/AstraZeneca,3218,0,0,0,0,0,3218
1456,Taiwan,2021-03-24,ALL,5169,0,0,0,0,0,5169
1455,Taiwan,2021-03-24,Oxford/AstraZeneca,5169,0,0,0,0,0,5169
1454,Taiwan,2021-03-25,ALL,7053,0,0,0,0,0,7053
1453,Taiwan,2021-03-25,Oxford/AstraZeneca,7053,0,0,0,0,0,7053
1452,Taiwan,2021-03-26,ALL,9232,0,0,0,0,0,9232
1451,Taiwan,2021-03-26,Oxford/AstraZeneca,9232,0,0,0,0,0,9232
1450,Taiwan,2021-03-27,ALL,9377,0,0,0,0,0,9377
1449,Taiwan,2021-03-27,Oxford/AstraZeneca,9377,0,0,0,0,0,9377
1448,Taiwan,2021-03-28,ALL,9412,0,0,0,0,0,9412
1447,Taiwan,2021-03-28,Oxford/AstraZeneca,9412,0,0,0,0,0,9412
1446,Taiwan,2021-03-29,ALL,10891,0,0,0,0,0,10891
1445,Taiwan,2021-03-29,Oxford/AstraZeneca,10891,0,0,0,0,0,10891
1444,Taiwan,2021-03-30,ALL,12648,0,0,0,0,0,12648
1443,Taiwan,2021-03-30,Oxford/AstraZeneca,12648,0,0,0,0,0,12648
1442,Taiwan,2021-03-31,ALL,14400,0,0,0,0,0,14400
1441,Taiwan,2021-03-31,Oxford/AstraZeneca,14400,0,0,0,0,0,14400
1440,Taiwan,2021-04-01,ALL,16450,0,0,0,0,0,16450
1439,Taiwan,2021-04-01,Oxford/AstraZeneca,16450,0,0,0,0,0,16450
1438,Taiwan,2021-04-02,ALL,17056,0,0,0,0,0,17056
1437,Taiwan,2021-04-02,Oxford/AstraZeneca,17056,0,0,0,0,0,17056
1436,Taiwan,2021-04-03,ALL,17078,0,0,0,0,0,17078
1435,Taiwan,2021-04-03,Oxford/AstraZeneca,17078,0,0,0,0,0,17078
1434,Taiwan,2021-04-04,ALL,17078,0,0,0,0,0,17078
1433,Taiwan,2021-04-04,Oxford/AstraZeneca,17078,0,0,0,0,0,17078
1432,Taiwan,2021-04-05,ALL,17245,0,0,0,0,0,17245
1431,Taiwan,2021-04-05,Oxford/AstraZeneca,17245,0,0,0,0,0,17245
1430,Taiwan,2021-04-06,ALL,18657,0,0,0,0,0,18657
1429,Taiwan,2021-04-06,Oxford/AstraZeneca,18657,0,0,0,0,0,18657
1428,Taiwan,2021-04-07,ALL,20075,0,0,0,0,0,20075
1427,Taiwan,2021-04-07,Oxford/AstraZeneca,20075,0,0,0,0,0,20075
1426,Taiwan,2021-04-08,ALL,21873,0,0,0,0,0,21873
1425,Taiwan,2021-04-08,Oxford/AstraZeneca,21873,0,0,0,0,0,21873
1424,Taiwan,2021-04-09,ALL,24450,0,0,0,0,0,24450
1423,Taiwan,2021-04-09,Oxford/AstraZeneca,24450,0,0,0,0,0,24450
1422,Taiwan,2021-04-10,ALL,24658,0,0,0,0,0,24658
1421,Taiwan,2021-04-10,Oxford/AstraZeneca,24658,0,0,0,0,0,24658
1420,Taiwan,2021-04-11,ALL,24701,0,0,0,0,0,24701
1419,Taiwan,2021-04-11,Oxford/AstraZeneca,24701,0,0,0,0,0,24701
1418,Taiwan,2021-04-12,ALL,25882,0,0,0,0,0,25882
1417,Taiwan,2021-04-12,Oxford/AstraZeneca,25882,0,0,0,0,0,25882
1416,Taiwan,2021-04-13,ALL,27113,0,0,0,0,0,27113
1415,Taiwan,2021-04-13,Oxford/AstraZeneca,27113,0,0,0,0,0,27113
1414,Taiwan,2021-04-14,ALL,28497,0,0,0,0,0,28497
1413,Taiwan,2021-04-14,Oxford/AstraZeneca,28497,0,0,0,0,0,28497
1412,Taiwan,2021-04-15,ALL,30039,0,0,0,0,0,30039
1411,Taiwan,2021-04-15,Oxford/AstraZeneca,30039,0,0,0,0,0,30039
1410,Taiwan,2021-04-16,ALL,32389,0,0,0,0,0,32389
1409,Taiwan,2021-04-16,Oxford/AstraZeneca,32389,0,0,0,0,0,32389
1408,Taiwan,2021-04-17,ALL,32450,0,0,0,0,0,32450
1407,Taiwan,2021-04-17,Oxford/AstraZeneca,32450,0,0,0,0,0,32450
1406,Taiwan,2021-04-20,ALL,34197,0,0,0,0,0,34197
1405,Taiwan,2021-04-20,Oxford/AstraZeneca,34197,0,0,0,0,0,34197
1404,Taiwan,2021-04-21,ALL,36731,0,0,0,0,0,36731
1403,Taiwan,2021-04-21,Oxford/AstraZeneca,36731,0,0,0,0,0,36731
1402,Taiwan,2021-04-22,ALL,39221,0,0,0,0,0,39221
1401,Taiwan,2021-04-22,Oxford/AstraZeneca,39221,0,0,0,0,0,39221
1400,Taiwan,2021-04-23,ALL,42523,0,0,0,0,0,42523
1399,Taiwan,2021-04-23,Oxford/AstraZeneca,42523,0,0,0,0,0,42523
1398,Taiwan,2021-04-24,ALL,42672,0,0,0,0,0,42672
1397,Taiwan,2021-04-24,Oxford/AstraZeneca,42672,0,0,0,0,0,42672
1396,Taiwan,2021-04-26,ALL,45387,0,0,0,0,0,45387
1395,Taiwan,2021-04-26,Oxford/AstraZeneca,45387,0,0,0,0,0,45387
1394,Taiwan,2021-04-27,ALL,48180,0,0,0,0,0,48180
1393,Taiwan,2021-04-27,Oxford/AstraZeneca,48180,0,0,0,0,0,48180
1392,Taiwan,2021-04-28,ALL,50833,0,0,0,0,0,50833
1391,Taiwan,2021-04-28,Oxford/AstraZeneca,50833,0,0,0,0,0,50833
1390,Taiwan,2021-04-29,ALL,54189,0,0,0,0,0,54189
1389,Taiwan,2021-04-29,Oxford/AstraZeneca,54189,0,0,0,0,0,54189
1388,Taiwan,2021-04-30,ALL,57884,0,0,0,0,0,57884
1387,Taiwan,2021-04-30,Oxford/AstraZeneca,57884,0,0,0,0,0,57884
1386,Taiwan,2021-05-02,ALL,58252,0,0,0,0,0,58252
1385,Taiwan,2021-05-02,Oxford/AstraZeneca,58252,0,0,0,0,0,58252
1384,Taiwan,2021-05-03,ALL,62437,0,0,0,0,0,62437
1383,Taiwan,2021-05-03,Oxford/AstraZeneca,62437,0,0,0,0,0,62437
1382,Taiwan,2021-05-04,ALL,67931,0,0,0,0,0,67931
1381,Taiwan,2021-05-04,Oxford/AstraZeneca,67931,0,0,0,0,0,67931
1380,Taiwan,2021-05-05,ALL,73988,0,0,0,0,0,73988
1379,Taiwan,2021-05-05,Oxford/AstraZeneca,73988,0,0,0,0,0,73988
1378,Taiwan,2021-05-06,ALL,80861,0,0,0,0,0,80861
1377,Taiwan,2021-05-06,Oxford/AstraZeneca,80861,0,0,0,0,0,80861
1376,Taiwan,2021-05-07,ALL,91002,0,0,0,0,0,91002
1375,Taiwan,2021-05-07,Oxford/AstraZeneca,91002,0,0,0,0,0,91002
1374,Taiwan,2021-05-09,ALL,92049,0,0,0,0,0,92049
1373,Taiwan,2021-05-09,Oxford/AstraZeneca,92049,0,0,0,0,0,92049
1372,Taiwan,2021-05-11,ALL,112543,0,0,0,0,0,112543
1371,Taiwan,2021-05-11,Oxford/AstraZeneca,112543,0,0,0,0,0,112543
1370,Taiwan,2021-05-12,ALL,129669,0,0,0,0,0,129669
1369,Taiwan,2021-05-12,Oxford/AstraZeneca,129669,0,0,0,0,0,129669
1368,Taiwan,2021-05-13,ALL,151997,0,0,0,0,0,151997
1367,Taiwan,2021-05-13,Oxford/AstraZeneca,151997,0,0,0,0,0,151997
1366,Taiwan,2021-05-14,ALL,186149,0,0,0,0,0,186149
1365,Taiwan,2021-05-14,Oxford/AstraZeneca,186149,0,0,0,0,0,186149
1364,Taiwan,2021-05-16,ALL,194678,0,0,0,0,0,194678
1363,Taiwan,2021-05-16,Oxford/AstraZeneca,194678,0,0,0,0,0,194678
1362,Taiwan,2021-05-17,ALL,220352,0,0,0,0,0,220352
1361,Taiwan,2021-05-17,Oxford/AstraZeneca,220352,0,0,0,0,0,220352
1360,Taiwan,2021-05-18,ALL,245008,0,0,0,0,0,245008
1359,Taiwan,2021-05-18,Oxford/AstraZeneca,245008,0,0,0,0,0,245008
1358,Taiwan,2021-05-19,ALL,264589,0,0,0,0,0,264589
1357,Taiwan,2021-05-19,Oxford/AstraZeneca,264589,0,0,0,0,0,264589
1356,Taiwan,2021-05-20,ALL,281647,0,0,0,0,0,281647
1355,Taiwan,2021-05-20,Oxford/AstraZeneca,281647,0,0,0,0,0,281647
1354,Taiwan,2021-05-21,ALL,299844,0,0,0,0,0,299844
1353,Taiwan,2021-05-21,Oxford/AstraZeneca,299844,0,0,0,0,0,299844
1352,Taiwan,2021-05-23,ALL,302698,0,0,0,0,0,302698
1351,Taiwan,2021-05-23,Oxford/AstraZeneca,302698,0,0,0,0,0,302698
1350,Taiwan,2021-05-24,ALL,311678,0,0,0,0,0,311678
1349,Taiwan,2021-05-24,Oxford/AstraZeneca,311678,0,0,0,0,0,311678
1348,Taiwan,2021-05-25,ALL,319665,0,0,0,0,0,319665
1347,Taiwan,2021-05-25,Oxford/AstraZeneca,319665,0,0,0,0,0,319665
1346,Taiwan,2021-06-02,ALL,562029,0,0,0,0,0,562029
1345,Taiwan,2021-06-02,Oxford/AstraZeneca,562029,0,0,0,0,0,562029
1344,Taiwan,2021-06-03,ALL,624132,0,0,0,0,0,624132
1343,Taiwan,2021-06-03,Oxford/AstraZeneca,624132,0,0,0,0,0,624132
1342,Taiwan,2021-06-04,ALL,678418,0,0,0,0,0,678418
1341,Taiwan,2021-06-04,Oxford/AstraZeneca,678418,0,0,0,0,0,678418
1340,Taiwan,2021-06-06,ALL,699187,0,0,0,0,0,699187
1339,Taiwan,2021-06-06,Oxford/AstraZeneca,699187,0,0,0,0,0,699187
1338,Taiwan,2021-06-07,ALL,724819,0,0,0,0,0,724819
1337,Taiwan,2021-06-07,Oxford/AstraZeneca,724819,0,0,0,0,0,724819
1336,Taiwan,2021-06-08,ALL,743578,0,0,0,0,0,743578
1335,Taiwan,2021-06-08,Oxford/AstraZeneca,743578,0,0,0,0,0,743578
1334,Taiwan,2021-06-09,ALL,759746,0,0,0,0,0,759746
1333,Taiwan,2021-06-09,Oxford/AstraZeneca,759746,0,0,0,0,0,759746
1332,Taiwan,2021-06-10,ALL,782300,0,0,0,0,0,782300
1331,Taiwan,2021-06-10,Moderna,15140,0,0,0,0,0,15140
