id,發佈統計日期,縣市,群組,第1劑,第2劑,加強劑,追加劑
9407,2021-11-22,全國,75歲以上,72.60,65.10,0.00,0.00
9406,2021-11-22,全國,65-74歲,83.00,76.90,0.00,0.00
9405,2021-11-22,全國,50-64歲,81.20,61.70,0.00,0.00
9404,2021-11-22,全國,30-49歲,88.70,52.90,0.00,0.00
9403,2021-11-22,全國,18-29歲,91.60,44.00,0.00,0.00
9402,2021-11-22,全國,12-17歲,89.40,0.30,0.00,0.00
9401,2021-11-22,全國,總計,77.10,48.90,0.00,0.00
9400,2021-11-22,連江縣,75歲以上,83.20,76.30,0.00,0.00
9399,2021-11-22,連江縣,65-74歲,93.10,89.40,0.00,0.00
9398,2021-11-22,連江縣,50-64歲,89.80,80.60,0.00,0.00
9397,2021-11-22,連江縣,30-49歲,95.20,82.30,0.00,0.00
9396,2021-11-22,連江縣,18-29歲,97.10,78.80,0.00,0.00
9395,2021-11-22,連江縣,12-17歲,91.90,0.60,0.00,0.00
9394,2021-11-22,連江縣,總計,84.90,71.10,0.00,0.00
9393,2021-11-22,金門縣,75歲以上,72.20,64.80,0.00,0.00
9392,2021-11-22,金門縣,65-74歲,87.40,81.50,0.00,0.00
9391,2021-11-22,金門縣,50-64歲,85.80,67.30,0.00,0.00
9390,2021-11-22,金門縣,30-49歲,89.50,62.40,0.00,0.00
9389,2021-11-22,金門縣,18-29歲,91.20,57.30,0.00,0.00
9388,2021-11-22,金門縣,12-17歲,90.50,0.40,0.00,0.00
9387,2021-11-22,金門縣,總計,81.30,58.20,0.00,0.00
9386,2021-11-22,澎湖縣,75歲以上,64.50,56.80,0.00,0.00
9385,2021-11-22,澎湖縣,65-74歲,82.70,75.20,0.00,0.00
9384,2021-11-22,澎湖縣,50-64歲,84.20,71.20,0.00,0.00
9383,2021-11-22,澎湖縣,30-49歲,90.40,68.90,0.00,0.00
9382,2021-11-22,澎湖縣,18-29歲,93.90,68.10,0.00,0.00
9381,2021-11-22,澎湖縣,12-17歲,90.80,0.20,0.00,0.00
9380,2021-11-22,澎湖縣,總計,79.40,60.50,0.00,0.00
9379,2021-11-22,南投縣,75歲以上,73.10,64.90,0.00,0.00
9378,2021-11-22,南投縣,65-74歲,84.90,76.40,0.00,0.00
9377,2021-11-22,南投縣,50-64歲,78.90,55.90,0.00,0.00
9376,2021-11-22,南投縣,30-49歲,85.20,48.40,0.00,0.00
9375,2021-11-22,南投縣,18-29歲,90.10,44.30,0.00,0.00
9374,2021-11-22,南投縣,12-17歲,90.10,0.30,0.00,0.00
9373,2021-11-22,南投縣,總計,76.70,47.70,0.00,0.00
9372,2021-11-22,臺東縣,75歲以上,66.80,55.90,0.00,0.00
9371,2021-11-22,臺東縣,65-74歲,74.00,65.00,0.00,0.00
9370,2021-11-22,臺東縣,50-64歲,72.20,53.10,0.00,0.00
9369,2021-11-22,臺東縣,30-49歲,75.30,45.40,0.00,0.00
9368,2021-11-22,臺東縣,18-29歲,80.40,42.80,0.00,0.00
9367,2021-11-22,臺東縣,12-17歲,86.80,0.10,0.00,0.00
9366,2021-11-22,臺東縣,總計,68.60,43.40,0.00,0.00
9365,2021-11-22,花蓮縣,75歲以上,65.60,58.10,0.00,0.00
9364,2021-11-22,花蓮縣,65-74歲,77.20,70.60,0.00,0.00
9363,2021-11-22,花蓮縣,50-64歲,76.00,56.20,0.00,0.00
9362,2021-11-22,花蓮縣,30-49歲,81.40,49.10,0.00,0.00
9361,2021-11-22,花蓮縣,18-29歲,84.70,42.50,0.00,0.00
9360,2021-11-22,花蓮縣,12-17歲,87.70,0.30,0.00,0.00
9359,2021-11-22,花蓮縣,總計,71.90,45.80,0.00,0.00
9358,2021-11-22,嘉義縣,75歲以上,69.60,60.80,0.00,0.00
9357,2021-11-22,嘉義縣,65-74歲,82.10,75.70,0.00,0.00
9356,2021-11-22,嘉義縣,50-64歲,78.00,57.70,0.00,0.00
9355,2021-11-22,嘉義縣,30-49歲,83.00,49.00,0.00,0.00
9354,2021-11-22,嘉義縣,18-29歲,88.40,44.20,0.00,0.00
9353,2021-11-22,嘉義縣,12-17歲,89.80,0.20,0.00,0.00
9352,2021-11-22,嘉義縣,總計,75.90,49.00,0.00,0.00
9351,2021-11-22,嘉義市,75歲以上,71.70,63.90,0.00,0.00
9350,2021-11-22,嘉義市,65-74歲,80.90,73.80,0.00,0.00
9349,2021-11-22,嘉義市,50-64歲,82.50,67.40,0.00,0.00
9348,2021-11-22,嘉義市,30-49歲,87.80,56.50,0.00,0.00
9347,2021-11-22,嘉義市,18-29歲,90.50,47.70,0.00,0.00
9346,2021-11-22,嘉義市,12-17歲,90.60,0.30,0.00,0.00
9345,2021-11-22,嘉義市,總計,76.60,50.70,0.00,0.00
9344,2021-11-22,苗栗縣,75歲以上,67.70,59.70,0.00,0.00
9343,2021-11-22,苗栗縣,65-74歲,78.30,71.00,0.00,0.00
9342,2021-11-22,苗栗縣,50-64歲,78.40,57.40,0.00,0.00
9341,2021-11-22,苗栗縣,30-49歲,88.30,47.30,0.00,0.00
9340,2021-11-22,苗栗縣,18-29歲,90.80,42.30,0.00,0.00
9339,2021-11-22,苗栗縣,12-17歲,89.10,0.20,0.00,0.00
9338,2021-11-22,苗栗縣,總計,75.70,45.10,0.00,0.00
9337,2021-11-22,新竹市,75歲以上,78.20,70.60,0.00,0.00
9336,2021-11-22,新竹市,65-74歲,86.30,81.30,0.00,0.00
9335,2021-11-22,新竹市,50-64歲,82.00,59.20,0.00,0.00
9334,2021-11-22,新竹市,30-49歲,91.30,52.50,0.00,0.00
9333,2021-11-22,新竹市,18-29歲,96.90,42.00,0.00,0.00
9332,2021-11-22,新竹市,12-17歲,90.00,0.40,0.00,0.00
9331,2021-11-22,新竹市,總計,76.90,45.30,0.00,0.00
9330,2021-11-22,宜蘭縣,75歲以上,76.00,69.70,0.00,0.00
9329,2021-11-22,宜蘭縣,65-74歲,83.10,76.50,0.00,0.00
