id,發佈統計日期,縣市,群組,第1劑,第2劑,加強劑,追加劑
6877,2021-11-22,全國,75歲以上,72.60,65.10,0.00,0.00
6876,2021-11-22,全國,65-74歲,83.00,76.90,0.00,0.00
6875,2021-11-22,全國,50-64歲,81.20,61.70,0.00,0.00
6874,2021-11-22,全國,30-49歲,88.70,52.90,0.00,0.00
6873,2021-11-22,全國,18-29歲,91.60,44.00,0.00,0.00
6872,2021-11-22,全國,12-17歲,89.40,0.30,0.00,0.00
6871,2021-11-22,全國,總計,77.10,48.90,0.00,0.00
6870,2021-11-22,連江縣,75歲以上,83.20,76.30,0.00,0.00
6869,2021-11-22,連江縣,65-74歲,93.10,89.40,0.00,0.00
6868,2021-11-22,連江縣,50-64歲,89.80,80.60,0.00,0.00
6867,2021-11-22,連江縣,30-49歲,95.20,82.30,0.00,0.00
6866,2021-11-22,連江縣,18-29歲,97.10,78.80,0.00,0.00
6865,2021-11-22,連江縣,12-17歲,91.90,0.60,0.00,0.00
6864,2021-11-22,連江縣,總計,84.90,71.10,0.00,0.00
6863,2021-11-22,金門縣,75歲以上,72.20,64.80,0.00,0.00
6862,2021-11-22,金門縣,65-74歲,87.40,81.50,0.00,0.00
6861,2021-11-22,金門縣,50-64歲,85.80,67.30,0.00,0.00
6860,2021-11-22,金門縣,30-49歲,89.50,62.40,0.00,0.00
6859,2021-11-22,金門縣,18-29歲,91.20,57.30,0.00,0.00
6858,2021-11-22,金門縣,12-17歲,90.50,0.40,0.00,0.00
6857,2021-11-22,金門縣,總計,81.30,58.20,0.00,0.00
6856,2021-11-22,澎湖縣,75歲以上,64.50,56.80,0.00,0.00
6855,2021-11-22,澎湖縣,65-74歲,82.70,75.20,0.00,0.00
6854,2021-11-22,澎湖縣,50-64歲,84.20,71.20,0.00,0.00
6853,2021-11-22,澎湖縣,30-49歲,90.40,68.90,0.00,0.00
6852,2021-11-22,澎湖縣,18-29歲,93.90,68.10,0.00,0.00
6851,2021-11-22,澎湖縣,12-17歲,90.80,0.20,0.00,0.00
6850,2021-11-22,澎湖縣,總計,79.40,60.50,0.00,0.00
6849,2021-11-22,南投縣,75歲以上,73.10,64.90,0.00,0.00
6848,2021-11-22,南投縣,65-74歲,84.90,76.40,0.00,0.00
6847,2021-11-22,南投縣,50-64歲,78.90,55.90,0.00,0.00
6846,2021-11-22,南投縣,30-49歲,85.20,48.40,0.00,0.00
6845,2021-11-22,南投縣,18-29歲,90.10,44.30,0.00,0.00
6844,2021-11-22,南投縣,12-17歲,90.10,0.30,0.00,0.00
6843,2021-11-22,南投縣,總計,76.70,47.70,0.00,0.00
6842,2021-11-22,臺東縣,75歲以上,66.80,55.90,0.00,0.00
6841,2021-11-22,臺東縣,65-74歲,74.00,65.00,0.00,0.00
6840,2021-11-22,臺東縣,50-64歲,72.20,53.10,0.00,0.00
6839,2021-11-22,臺東縣,30-49歲,75.30,45.40,0.00,0.00
6838,2021-11-22,臺東縣,18-29歲,80.40,42.80,0.00,0.00
6837,2021-11-22,臺東縣,12-17歲,86.80,0.10,0.00,0.00
6836,2021-11-22,臺東縣,總計,68.60,43.40,0.00,0.00
6835,2021-11-22,花蓮縣,75歲以上,65.60,58.10,0.00,0.00
6834,2021-11-22,花蓮縣,65-74歲,77.20,70.60,0.00,0.00
6833,2021-11-22,花蓮縣,50-64歲,76.00,56.20,0.00,0.00
6832,2021-11-22,花蓮縣,30-49歲,81.40,49.10,0.00,0.00
6831,2021-11-22,花蓮縣,18-29歲,84.70,42.50,0.00,0.00
6830,2021-11-22,花蓮縣,12-17歲,87.70,0.30,0.00,0.00
6829,2021-11-22,花蓮縣,總計,71.90,45.80,0.00,0.00
6828,2021-11-22,嘉義縣,75歲以上,69.60,60.80,0.00,0.00
6827,2021-11-22,嘉義縣,65-74歲,82.10,75.70,0.00,0.00
6826,2021-11-22,嘉義縣,50-64歲,78.00,57.70,0.00,0.00
6825,2021-11-22,嘉義縣,30-49歲,83.00,49.00,0.00,0.00
6824,2021-11-22,嘉義縣,18-29歲,88.40,44.20,0.00,0.00
6823,2021-11-22,嘉義縣,12-17歲,89.80,0.20,0.00,0.00
6822,2021-11-22,嘉義縣,總計,75.90,49.00,0.00,0.00
6821,2021-11-22,嘉義市,75歲以上,71.70,63.90,0.00,0.00
6820,2021-11-22,嘉義市,65-74歲,80.90,73.80,0.00,0.00
6819,2021-11-22,嘉義市,50-64歲,82.50,67.40,0.00,0.00
6818,2021-11-22,嘉義市,30-49歲,87.80,56.50,0.00,0.00
6817,2021-11-22,嘉義市,18-29歲,90.50,47.70,0.00,0.00
6816,2021-11-22,嘉義市,12-17歲,90.60,0.30,0.00,0.00
6815,2021-11-22,嘉義市,總計,76.60,50.70,0.00,0.00
6814,2021-11-22,苗栗縣,75歲以上,67.70,59.70,0.00,0.00
6813,2021-11-22,苗栗縣,65-74歲,78.30,71.00,0.00,0.00
6812,2021-11-22,苗栗縣,50-64歲,78.40,57.40,0.00,0.00
6811,2021-11-22,苗栗縣,30-49歲,88.30,47.30,0.00,0.00
6810,2021-11-22,苗栗縣,18-29歲,90.80,42.30,0.00,0.00
6809,2021-11-22,苗栗縣,12-17歲,89.10,0.20,0.00,0.00
6808,2021-11-22,苗栗縣,總計,75.70,45.10,0.00,0.00
6807,2021-11-22,新竹市,75歲以上,78.20,70.60,0.00,0.00
6806,2021-11-22,新竹市,65-74歲,86.30,81.30,0.00,0.00
6805,2021-11-22,新竹市,50-64歲,82.00,59.20,0.00,0.00
6804,2021-11-22,新竹市,30-49歲,91.30,52.50,0.00,0.00
6803,2021-11-22,新竹市,18-29歲,96.90,42.00,0.00,0.00
6802,2021-11-22,新竹市,12-17歲,90.00,0.40,0.00,0.00
6801,2021-11-22,新竹市,總計,76.90,45.30,0.00,0.00
6800,2021-11-22,宜蘭縣,75歲以上,76.00,69.70,0.00,0.00
6799,2021-11-22,宜蘭縣,65-74歲,83.10,76.50,0.00,0.00
6798,2021-11-22,宜蘭縣,50-64歲,83.30,64.80,0.00,0.00
6797,2021-11-22,宜蘭縣,30-49歲,89.40,56.30,0.00,0.00
6796,2021-11-22,宜蘭縣,18-29歲,90.50,46.20,0.00,0.00
6795,2021-11-22,宜蘭縣,12-17歲,87.90,0.10,0.00,0.00
6794,2021-11-22,宜蘭縣,總計,78.30,51.70,0.00,0.00
6793,2021-11-22,基隆市,75歲以上,77.50,70.00,0.00,0.00
6792,2021-11-22,基隆市,65-74歲,87.60,82.40,0.00,0.00
6791,2021-11-22,基隆市,50-64歲,83.20,63.40,0.00,0.00
6790,2021-11-22,基隆市,30-49歲,89.50,55.50,0.00,0.00
6789,2021-11-22,基隆市,18-29歲,91.50,45.10,0.00,0.00
6788,2021-11-22,基隆市,12-17歲,91.10,2.70,0.00,0.00
6787,2021-11-22,基隆市,總計,80.30,53.20,0.00,0.00
6786,2021-11-22,屏東縣,75歲以上,70.30,62.10,0.00,0.00
6785,2021-11-22,屏東縣,65-74歲,81.90,75.30,0.00,0.00
6784,2021-11-22,屏東縣,50-64歲,77.20,59.20,0.00,0.00
6783,2021-11-22,屏東縣,30-49歲,81.70,50.10,0.00,0.00
6782,2021-11-22,屏東縣,18-29歲,85.80,44.50,0.00,0.00
6781,2021-11-22,屏東縣,12-17歲,87.70,0.20,0.00,0.00
6780,2021-11-22,屏東縣,總計,74.20,48.70,0.00,0.00
6779,2021-11-22,雲林縣,75歲以上,71.80,63.10,0.00,0.00
6778,2021-11-22,雲林縣,65-74歲,80.80,73.50,0.00,0.00
6777,2021-11-22,雲林縣,50-64歲,80.00,63.60,0.00,0.00
6776,2021-11-22,雲林縣,30-49歲,86.10,49.60,0.00,0.00
6775,2021-11-22,雲林縣,18-29歲,89.90,42.90,0.00,0.00
6774,2021-11-22,雲林縣,12-17歲,88.80,0.20,0.00,0.00
6773,2021-11-22,雲林縣,總計,76.40,48.70,0.00,0.00
6772,2021-11-22,彰化縣,75歲以上,72.70,66.40,0.00,0.00
6771,2021-11-22,彰化縣,65-74歲,84.90,78.70,0.00,0.00
6770,2021-11-22,彰化縣,50-64歲,81.60,63.70,0.00,0.00
6769,2021-11-22,彰化縣,30-49歲,89.30,50.90,0.00,0.00
